"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Ryan Griffin (NYJ)","4","4","66","16.5","24","2","2","0","0","0","0","1","20.6","20.6","1.0%"
"2","Darren Fells (HOU)","6","6","58","9.7","23","1","2","0","0","0","0","1","17.8","17.8","3.0%"
"3","Jonnu Smith (TEN)","6","7","78","13.0","26","2","1","0","0","0","0","1","13.8","13.8","79.0%"
"4","Austin Hooper (CLE)","6","7","65","10.8","35","1","1","0","0","0","0","1","12.5","12.5","92.0%"
"5","Travis Kelce (KC)","4","8","63","15.8","29","1","1","0","0","0","0","1","12.3","12.3","100.0%"
"6","Evan Engram (NYG)","4","7","40","10.0","18","0","1","0","0","0","0","1","10.0","10.0","94.0%"
"7","Demetrius Harris (CHI)","2","3","33","16.5","21","1","1","0","0","0","0","1","9.3","9.3","0.0%"
"8","Charles Clay (FA)","3","3","88","29.3","47","2","0","0","0","0","0","1","8.8","8.8","0.0%"
"9","George Kittle (SF)","6","7","86","14.3","29","2","0","0","0","0","0","1","8.6","8.6","100.0%"
"10","Dallas Goedert (PHI)","3","5","22","7.3","10","0","1","0","0","0","0","1","8.2","8.2","76.0%"
"11","Tyler Eifert (JAC)","6","9","74","12.3","27","1","0","0","0","0","0","1","7.4","7.4","6.0%"
"12","Darren Waller (LV)","2","8","11","5.5","8","0","1","0","0","0","0","1","7.1","7.1","99.0%"
"13","Jack Doyle (IND)","4","5","61","15.3","19","0","0","0","0","0","0","1","6.1","6.1","50.0%"
"14","Hunter Henry (LAC)","4","6","47","11.8","20","1","0","0","0","0","0","1","4.7","4.7","98.0%"
"15","Anthony Firkser (TEN)","3","5","43","14.3","23","1","0","0","0","0","0","1","4.3","4.3","0.0%"
"16","Josh Hill (NO)","3","5","39","13.0","29","1","0","0","0","0","0","1","3.9","3.9","0.0%"
"17","Cameron Brate (TB)","3","6","32","10.7","12","0","0","0","0","0","0","1","3.2","3.2","2.0%"
"18","Tyler Kroft (BUF)","2","4","32","16.0","20","1","0","0","0","0","0","1","3.2","3.2","0.0%"
"19","Noah Fant (DEN)","5","9","26","5.2","17","0","0","0","0","0","0","1","2.6","2.6","83.0%"
"20","Eric Ebron (PIT)","3","4","26","8.7","12","0","0","0","0","0","0","1","2.6","2.6","52.0%"
"21","Benjamin Watson (FA)","1","1","26","26.0","26","1","0","0","0","0","0","1","2.6","2.6","2.0%"
"22","Dan Arnold (ARI)","2","3","25","12.5","19","0","0","0","0","0","0","1","2.5","2.5","1.0%"
"23","T.J. Hockenson (DET)","1","1","21","21.0","21","1","0","0","0","0","0","1","2.1","2.1","80.0%"
"24","Irv Smith Jr. (MIN)","3","3","21","7.0","11","0","0","0","0","0","0","1","2.1","2.1","34.0%"
"25","Jimmy Graham (CHI)","3","5","20","6.7","11","0","0","0","0","0","0","1","2.0","2.0","6.0%"
"26","Zach Ertz (PHI)","2","4","20","10.0","18","0","0","0","0","0","0","1","2.0","2.0","99.0%"
"27","Vance McDonald (PIT)","3","4","19","6.3","14","0","0","0","0","0","0","1","1.9","1.9","3.0%"
"28","Luke Stocker (FA)","1","1","18","18.0","18","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"29","Jacob Hollister (SEA)","2","2","18","9.0","12","0","0","0","0","0","0","1","1.8","1.8","2.0%"
"30","Kyle Rudolph (MIN)","3","3","17","5.7","7","0","0","0","0","0","0","1","1.7","1.7","18.0%"
"31","Logan Thomas (WAS)","1","1","17","17.0","17","0","0","0","0","0","0","1","1.7","1.7","0.0%"
"32","Trey Burton (IND)","1","4","16","16.0","16","0","0","0","0","0","0","1","1.6","1.6","2.0%"
"33","Nick Vannett (DEN)","1","2","15","15.0","15","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"34","Gerald Everett (LAR)","2","3","15","7.5","11","0","0","0","0","0","0","1","1.5","1.5","11.0%"
"35","Greg Olsen (SEA)","2","2","13","6.5","9","0","0","0","0","0","0","1","1.3","1.3","42.0%"
"36","Hale Hentges (WAS)","1","1","13","13.0","13","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"37","Jeremy Sprinkle (WAS)","2","2","12","6.0","6","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"38","Jaeden Graham (ATL)","1","1","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"39","Jordan Akins (HOU)","2","5","11","5.5","7","0","0","0","0","0","0","1","1.1","1.1","1.0%"
"40","Seth DeValve (FA)","1","1","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"41","Marcedes Lewis (GB)","1","1","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"42","Jeff Heuerman (FA)","1","1","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"43","Virgil Green (LAC)","1","1","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","0.0%"
"44","Mike Gesicki (MIA)","2","3","10","5.0","5","0","0","0","0","0","0","1","1.0","1.0","81.0%"
"45","Foster Moreau (LV)","1","2","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","0.0%"
"46","Maxx Williams (ARI)","1","1","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"47","Tyler Higbee (LAR)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","95.0%"
