FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Christian McCaffrey,CAR,RB,2,1,
2,Saquon Barkley,NYG,RB,3,1,
3,Dalvin Cook,MIN,RB,1,-2,
4,Chris Carson,SEA,RB,6,2,
5,Leonard Fournette,JAC,RB,4,-1,
6,James Conner,PIT,RB,5,-1,
7,Marlon Mack,IND,RB,13,6,
8,Le'Veon Bell,NYJ,RB,10,2,
9,Todd Gurley,ATL,RB,9,0,
10,Aaron Jones,GB,RB,8,-2,
11,Latavius Murray,NO,RB,7,-4,
12,Nick Chubb,CLE,RB,11,-1,
13,Devonta Freeman,FA,RB,17,4,
14,Chase Edmonds,ARI,RB,14,0,
15,Melvin Gordon,DEN,RB,23,8,
16,Tevin Coleman,SF,RB,19,3,
17,Derrick Henry,TEN,RB,12,-5,
18,Sony Michel,NE,RB,16,-2,
19,Ty Johnson,DET,RB,20,1,
20,James White,NE,RB,22,2,
21,Austin Ekeler,LAC,RB,18,-3,
22,David Montgomery,CHI,RB,25,3,
23,LeSean McCoy,TB,RB,27,4,
24,Josh Jacobs,LV,RB,15,-9,
25,Phillip Lindsay,DEN,RB,21,-4,
26,Matt Breida,MIA,RB,28,2,
27,Carlos Hyde,SEA,RB,26,-1,
28,Jordan Howard,MIA,RB,31,3,
29,Joe Mixon,CIN,RB,29,0,
30,Royce Freeman,DEN,RB,24,-6,
31,Miles Sanders,PHI,RB,33,2,
32,Tarik Cohen,CHI,RB,34,2,
33,Damien Williams,KC,RB,38,5,
34,Adrian Peterson,WAS,RB,36,2,
35,Benny Snell Jr.,PIT,RB,47,12,
36,Jamaal Williams,GB,RB,30,-6,
37,Frank Gore,NYJ,RB,32,-5,
38,Darrell Henderson,LAR,RB,37,-1,
39,Devin Singletary,BUF,RB,35,-4,
40,Mark Walton,FA,RB,41,1,
41,Kenyan Drake,ARI,RB,,,
42,Ronald Jones II,TB,RB,39,-3,
43,Peyton Barber,WAS,RB,43,0,
44,Duke Johnson,HOU,RB,40,-4,
45,Alexander Mattison,MIN,RB,44,-1,
46,Wendell Smallwood,PIT,RB,45,-1,
47,J.D. McKissic,WAS,RB,42,-5,
48,Rashaad Penny,SEA,RB,51,3,
49,Nyheim Hines,IND,RB,48,-1,
50,Brian Hill,ATL,RB,52,2,
51,Dare Ogunbowale,TB,RB,53,2,
52,Giovani Bernard,CIN,RB,46,-6,
53,DeAndre Washington,KC,RB,50,-3,
54,Kalen Ballage,MIA,RB,59,5,
55,Darrel Williams,KC,RB,56,1,
56,Jalen Richard,LV,RB,55,-1,
57,Brandon Bolden,NE,RB,54,-3,
58,Boston Scott,PHI,RB,66,8,
59,Dion Lewis,NYG,RB,49,-10,
60,Dontrell Hilliard,CLE,RB,62,2,
61,Ty Montgomery,NO,RB,58,-3,
