FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Greg Zuerlein,DAL,K,1,0,
2,Harrison Butker,KC,K,2,0,
3,Justin Tucker,BAL,K,3,0,
4,Jason Myers,SEA,K,5,1,
5,Mason Crosby,GB,K,6,1,
6,Stephen Gostkowski,FA,K,,,
7,Ka'imi Fairbairn,HOU,K,4,-3,
8,Brett Maher,NYJ,K,7,-1,
9,Matt Bryant,FA,K,8,-1,
10,Jake Elliott,PHI,K,12,2,
11,Aldrick Rosas,FA,K,10,-1,
12,Matt Prater,DET,K,9,-3,
13,Wil Lutz,NO,K,11,-2,
14,Zane Gonzalez,ARI,K,14,0,
15,Chris Boswell,PIT,K,16,1,
16,Joey Slye,CAR,K,15,-1,
17,Josh Lambo,JAC,K,18,1,
18,Dustin Hopkins,WAS,K,17,-1,
19,Adam Vinatieri,FA,K,13,-6,
20,Matt Gay,TB,K,20,0,
