FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Lamar Jackson,BAL,QB,1,0,
2,Deshaun Watson,HOU,QB,2,0,
3,Drew Brees,NO,QB,6,3,
4,Russell Wilson,SEA,QB,3,-1,
5,Patrick Mahomes,KC,QB,4,-1,
6,Ryan Tannehill,TEN,QB,10,4,
7,Carson Wentz,PHI,QB,14,7,
8,Jameis Winston,NO,QB,5,-3,
9,Dak Prescott,DAL,QB,8,-1,
10,Kyler Murray,ARI,QB,9,-1,
11,Ryan Fitzpatrick,MIA,QB,11,0,
12,Kirk Cousins,MIN,QB,13,1,
13,Gardner Minshew II,JAC,QB,17,4,
14,Aaron Rodgers,GB,QB,12,-2,
15,Matt Ryan,ATL,QB,7,-8,
16,Jimmy Garoppolo,SF,QB,16,0,
17,Andy Dalton,DAL,QB,18,1,
18,Philip Rivers,IND,QB,15,-3,
19,Mitch Trubisky,CHI,QB,19,0,
20,Josh Allen,BUF,QB,21,1,
21,Jared Goff,LAR,QB,24,3,
22,Drew Lock,DEN,QB,22,0,
23,Daniel Jones,NYG,QB,23,0,
24,Dwayne Haskins,WAS,QB,26,2,
25,Jacoby Brissett,IND,QB,20,-5,
26,Baker Mayfield,CLE,QB,28,2,
27,Will Grier,CAR,QB,29,2,
28,Derek Carr,LV,QB,27,-1,
29,Tom Brady,TB,QB,25,-4,
30,Sam Darnold,NYJ,QB,30,0,
31,Devlin Hodges,PIT,QB,31,0,
32,David Blough,DET,QB,32,0,
