FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Ezekiel Elliott,DAL,RB,1,0,
2,Saquon Barkley,NYG,RB,3,1,
3,Christian McCaffrey,CAR,RB,2,-1,
4,Dalvin Cook,MIN,RB,4,0,
5,Nick Chubb,CLE,RB,5,0,
6,David Johnson,HOU,RB,8,2,
7,Alvin Kamara,NO,RB,9,2,
8,Todd Gurley,ATL,RB,14,6,
9,Chris Carson,SEA,RB,7,-2,
10,Austin Ekeler,LAC,RB,6,-4,
11,Sony Michel,NE,RB,13,2,
12,Le'Veon Bell,NYJ,RB,12,0,
13,Derrick Henry,TEN,RB,10,-3,
14,Aaron Jones,GB,RB,11,-3,
15,Marlon Mack,IND,RB,16,1,
16,Mark Ingram II,BAL,RB,17,1,
17,Leonard Fournette,JAC,RB,15,-2,
18,Frank Gore,NYJ,RB,24,6,
19,Devonta Freeman,FA,RB,22,3,
20,James Conner,PIT,RB,18,-2,
21,Joe Mixon,CIN,RB,23,2,
22,David Montgomery,CHI,RB,19,-3,
23,Kerryon Johnson,DET,RB,20,-3,
24,Matt Breida,MIA,RB,21,-3,
25,LeSean McCoy,TB,RB,30,5,
26,Phillip Lindsay,DEN,RB,26,0,
27,Royce Freeman,DEN,RB,28,1,
28,Josh Jacobs,LV,RB,25,-3,
29,Miles Sanders,PHI,RB,27,-2,
30,Carlos Hyde,SEA,RB,33,3,
31,Rex Burkhead,NE,RB,32,1,
32,Duke Johnson,HOU,RB,34,2,
33,Peyton Barber,WAS,RB,29,-4,
34,Tarik Cohen,CHI,RB,36,2,
35,Kenyan Drake,ARI,RB,38,3,
36,Adrian Peterson,WAS,RB,35,-1,
37,Darwin Thompson,KC,RB,40,3,
38,Malcolm Brown,LAR,RB,39,1,
39,Latavius Murray,NO,RB,41,2,
40,Raheem Mostert,SF,RB,31,-9,
41,Justin Jackson,LAC,RB,37,-4,
42,Tony Pollard,DAL,RB,47,5,
43,Alexander Mattison,MIN,RB,50,7,
44,Jordan Howard,MIA,RB,43,-1,
45,Darrel Williams,KC,RB,56,11,
46,Justice Hill,BAL,RB,51,5,
47,Ronald Jones II,TB,RB,45,-2,
48,Gus Edwards,BAL,RB,52,4,
49,T.J. Yeldon,BUF,RB,60,11,
50,Nyheim Hines,IND,RB,54,4,
51,Chris Thompson,JAC,RB,42,-9,
52,Jaylen Samuels,PIT,RB,48,-4,
53,Ito Smith,ATL,RB,44,-9,
54,DeAndre Washington,KC,RB,69,15,
55,Giovani Bernard,CIN,RB,49,-6,
56,Dion Lewis,NYG,RB,58,2,
57,Jeff Wilson,SF,RB,61,4,
58,Jalen Richard,LV,RB,62,4,
59,Jamaal Williams,GB,RB,46,-13,
60,Kalen Ballage,MIA,RB,59,-1,
61,Darren Sproles,FA,RB,53,-8,
62,Ty Montgomery,NO,RB,65,3,
63,Mike Davis,CAR,RB,55,-8,
64,Darrell Henderson,LAR,RB,71,7,
65,Ty Johnson,DET,RB,63,-2,
66,C.J. Prosise,FA,RB,67,1,
67,Jordan Wilkins,IND,RB,57,-10,
68,Chase Edmonds,ARI,RB,68,0,
69,Dare Ogunbowale,TB,RB,64,-5,
70,D'Ernest Johnson,CLE,RB,66,-4,
