FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Russell Wilson,SEA,QB,1,0,
2,Aaron Rodgers,GB,QB,4,2,
3,Dak Prescott,DAL,QB,3,0,
4,Matthew Stafford,DET,QB,5,1,
5,Lamar Jackson,BAL,QB,6,1,
6,Deshaun Watson,HOU,QB,2,-4,
7,Gardner Minshew II,JAC,QB,8,1,
8,Jameis Winston,NO,QB,9,1,
9,Josh Allen,BUF,QB,7,-2,
10,Tom Brady,TB,QB,10,0,
11,Sam Darnold,NYJ,QB,14,3,
12,Derek Carr,LV,QB,11,-1,
13,Philip Rivers,IND,QB,15,2,
14,Kirk Cousins,MIN,QB,12,-2,
15,Carson Wentz,PHI,QB,13,-2,
16,Mitch Trubisky,CHI,QB,23,7,
17,Kyler Murray,ARI,QB,18,1,
18,Daniel Jones,NYG,QB,16,-2,
19,Jacoby Brissett,IND,QB,19,0,
20,Jimmy Garoppolo,SF,QB,17,-3,
21,Matt Moore,KC,QB,20,-1,
22,Ryan Tannehill,TEN,QB,25,3,
23,Kyle Allen,WAS,QB,22,-1,
24,Mason Rudolph,PIT,QB,21,-3,
25,Ryan Fitzpatrick,MIA,QB,24,-1,
26,Baker Mayfield,CLE,QB,26,0,
27,Brandon Allen,CIN,QB,27,0,
28,Dwayne Haskins,WAS,QB,28,0,
