FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Patrick Mahomes,KC,QB,1,0,
2,Lamar Jackson,BAL,QB,2,0,
3,Tom Brady,TB,QB,5,2,
4,Dak Prescott,DAL,QB,3,-1,
5,Deshaun Watson,HOU,QB,4,-1,
6,Josh Allen,BUF,QB,6,0,
7,Aaron Rodgers,GB,QB,10,3,
8,Jameis Winston,NO,QB,11,3,
9,Matt Ryan,ATL,QB,7,-2,
10,Russell Wilson,SEA,QB,8,-2,
11,Kyler Murray,ARI,QB,9,-2,
12,Jared Goff,LAR,QB,13,1,
13,Matthew Stafford,DET,QB,17,4,
14,Philip Rivers,IND,QB,14,0,
15,Kirk Cousins,MIN,QB,18,3,
16,Carson Wentz,PHI,QB,12,-4,
17,Baker Mayfield,CLE,QB,15,-2,
18,Jimmy Garoppolo,SF,QB,16,-2,
19,Jacoby Brissett,IND,QB,19,0,
20,Daniel Jones,NYG,QB,21,1,
21,Kyle Allen,WAS,QB,24,3,
22,Marcus Mariota,LV,QB,25,3,
23,Gardner Minshew II,JAC,QB,26,3,
24,Mitch Trubisky,CHI,QB,20,-4,
25,Andy Dalton,DAL,QB,23,-2,
26,Mason Rudolph,PIT,QB,22,-4,
27,Teddy Bridgewater,CAR,QB,29,2,
28,Derek Carr,LV,QB,27,-1,
29,Joe Flacco,NYJ,QB,28,-1,
30,Case Keenum,CLE,QB,30,0,
31,Josh Rosen,MIA,QB,31,0,
32,Luke Falk,FA,QB,32,0,
33,Taysom Hill,NO,QB,33,0,
34,Ryan Fitzpatrick,MIA,QB,34,0,
