FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Ezekiel Elliott,DAL,RB,3,2,
2,Christian McCaffrey,CAR,RB,1,-1,
3,Dalvin Cook,MIN,RB,2,-1,
4,Josh Jacobs,LV,RB,4,0,
5,Leonard Fournette,JAC,RB,5,0,
6,Nick Chubb,CLE,RB,7,1,
7,Melvin Gordon,DEN,RB,6,-1,
8,Alvin Kamara,NO,RB,8,0,
9,Le'Veon Bell,NYJ,RB,12,3,
10,James Conner,PIT,RB,9,-1,
11,Tevin Coleman,SF,RB,11,0,
12,Marlon Mack,IND,RB,10,-2,
13,Mark Ingram II,BAL,RB,15,2,
14,Brian Hill,ATL,RB,13,-1,
15,Todd Gurley,ATL,RB,18,3,
16,Damien Williams,KC,RB,14,-2,
17,Devin Singletary,BUF,RB,16,-1,
18,Sony Michel,NE,RB,23,5,
19,Miles Sanders,PHI,RB,20,1,
20,Joe Mixon,CIN,RB,17,-3,
21,Austin Ekeler,LAC,RB,21,0,
22,Royce Freeman,DEN,RB,30,8,
23,Phillip Lindsay,DEN,RB,19,-4,
24,Kenyan Drake,ARI,RB,26,2,
25,James White,NE,RB,27,2,
26,David Montgomery,CHI,RB,25,-1,
27,Adrian Peterson,WAS,RB,29,2,
28,Carlos Hyde,SEA,RB,24,-4,
29,Ronald Jones II,TB,RB,22,-7,
30,David Johnson,HOU,RB,34,4,
31,Raheem Mostert,SF,RB,32,1,
32,Kareem Hunt,CLE,RB,31,-1,
33,Frank Gore,NYJ,RB,37,4,
34,J.D. McKissic,WAS,RB,33,-1,
35,Tarik Cohen,CHI,RB,35,0,
36,Kalen Ballage,MIA,RB,28,-8,
37,Alexander Mattison,MIN,RB,41,4,
38,Latavius Murray,NO,RB,36,-2,
39,Ty Johnson,DET,RB,44,5,
40,Derrius Guice,FA,RB,40,0,
41,Peyton Barber,WAS,RB,43,2,
42,Jay Ajayi,FA,RB,57,15,
43,LeSean McCoy,TB,RB,51,8,
44,Jaylen Samuels,PIT,RB,38,-6,
45,Duke Johnson,HOU,RB,39,-6,
46,Darrell Henderson,LAR,RB,49,3,
47,Malcolm Brown,LAR,RB,54,7,
48,Gus Edwards,BAL,RB,42,-6,
49,Rex Burkhead,NE,RB,45,-4,
50,Boston Scott,PHI,RB,61,11,
51,Darrel Williams,KC,RB,48,-3,
52,DeAndre Washington,KC,RB,46,-6,
53,Nyheim Hines,IND,RB,47,-6,
54,Tony Pollard,DAL,RB,55,1,
55,Ryquell Armstead,JAC,RB,63,8,
56,Kenjon Barner,FA,RB,56,0,
57,Giovani Bernard,CIN,RB,52,-5,
58,Paul Perkins,FA,RB,77,19,
59,Justice Hill,BAL,RB,60,1,
60,Patrick Laird,MIA,RB,58,-2,
61,Myles Gaskin,MIA,RB,62,1,
62,Jalen Richard,LV,RB,50,-12,
