FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Davante Adams,GB,WR,3,2,
2,Michael Thomas,NO,WR,2,0,
3,Tyreek Hill,KC,WR,1,-2,
4,Mike Evans,TB,WR,4,0,
5,Julian Edelman,NE,WR,6,1,
6,Cooper Kupp,LAR,WR,8,2,
7,D.J. Moore,CAR,WR,9,2,
8,Tyler Lockett,SEA,WR,10,2,
9,D.J. Chark,JAC,WR,7,-2,
10,Chris Godwin,TB,WR,5,-5,
11,John Brown,BUF,WR,16,5,
12,Amari Cooper,DAL,WR,18,6,
13,Odell Beckham Jr.,CLE,WR,13,0,
14,DeAndre Hopkins,ARI,WR,11,-3,
15,Calvin Ridley,ATL,WR,12,-3,
16,Allen Robinson,CHI,WR,15,-1,
17,Robert Woods,LAR,WR,25,8,
18,Jarvis Landry,CLE,WR,17,-1,
19,Keenan Allen,LAC,WR,19,0,
20,Michael Gallup,DAL,WR,24,4,
21,Stefon Diggs,BUF,WR,14,-7,
22,DeVante Parker,MIA,WR,20,-2,
23,Courtland Sutton,DEN,WR,21,-2,
24,Kenny Golladay,DET,WR,29,5,
25,D.K. Metcalf,SEA,WR,22,-3,
26,Brandin Cooks,HOU,WR,33,7,
27,Sterling Shepard,NYG,WR,34,7,
28,Tyler Boyd,CIN,WR,23,-5,
29,Terry McLaurin,WAS,WR,30,1,
30,Curtis Samuel,CAR,WR,40,10,
31,Christian Kirk,ARI,WR,26,-5,
32,Mike Williams,LAC,WR,42,10,
33,Tyrell Williams,LV,WR,32,-1,
34,Alshon Jeffery,PHI,WR,31,-3,
35,Will Fuller,HOU,WR,35,0,
36,Sammy Watkins,KC,WR,27,-9,
37,Jamison Crowder,NYJ,WR,28,-9,
38,Adam Thielen,MIN,WR,,,
39,Dede Westbrook,JAC,WR,36,-3,
40,Russell Gage,ATL,WR,45,5,
41,A.J. Brown,TEN,WR,43,2,
42,Chris Conley,JAC,WR,48,6,
43,Marvin Jones,DET,WR,38,-5,
44,Marquise Brown,BAL,WR,37,-7,
45,Auden Tate,CIN,WR,53,8,
46,Anthony Miller,CHI,WR,51,5,
47,Zach Pascal,IND,WR,59,12,
48,Corey Davis,TEN,WR,61,13,
49,Deebo Samuel,SF,WR,39,-10,
50,Nelson Agholor,LV,WR,71,21,
51,Robby Anderson,CAR,WR,41,-10,
52,Emmanuel Sanders,NO,WR,47,-5,
53,Larry Fitzgerald,ARI,WR,52,-1,
54,Darius Slayton,NYG,WR,44,-10,
55,Allen Lazard,GB,WR,64,9,
56,Phillip Dorsett,SEA,WR,55,-1,
57,Cole Beasley,BUF,WR,50,-7,
58,Randall Cobb,HOU,WR,49,-9,
59,James Washington,PIT,WR,46,-13,
60,Mecole Hardman,KC,WR,63,3,
61,Diontae Johnson,PIT,WR,56,-5,
62,Josh Gordon,FA,WR,60,-2,
63,Mohamed Sanu,NE,WR,62,-1,
64,Ted Ginn,CHI,WR,57,-7,
65,Allen Hurns,MIA,WR,54,-11,
66,Geronimo Allison,DET,WR,76,10,
67,Demaryius Thomas,FA,WR,58,-9,
68,Zay Jones,LV,WR,75,7,
69,N'Keal Harry,NE,WR,70,1,
70,Alex Erickson,CIN,WR,68,-2,
71,Chester Rogers,MIA,WR,,,
72,Albert Wilson,MIA,WR,77,5,
73,Kelvin Harmon,WAS,WR,74,1,
74,Olabisi Johnson,MIN,WR,86,12,
75,Kenny Stills,HOU,WR,65,-10,
76,Adam Humphries,TEN,WR,67,-9,
77,Marquez Valdes-Scantling,GB,WR,78,1,
78,Tre'Quan Smith,NO,WR,72,-6,
79,Demarcus Robinson,KC,WR,73,-6,
80,Danny Amendola,DET,WR,69,-11,
81,Marcus Johnson,IND,WR,85,4,
82,Tim Patrick,DEN,WR,66,-16,
83,Andy Isabella,ARI,WR,80,-3,
84,Pharoh Cooper,CAR,WR,109,25,
85,Jakobi Meyers,NE,WR,84,-1,
86,Trevor Davis,CHI,WR,107,21,
87,Breshad Perriman,NYJ,WR,87,0,
88,Willie Snead,BAL,WR,79,-9,
89,Isaiah McKenzie,BUF,WR,81,-8,
90,Kendrick Bourne,SF,WR,82,-8,
91,Rashard Higgins,CLE,WR,90,-1,
92,Jarius Wright,FA,WR,92,0,
93,Miles Boykin,BAL,WR,96,3,
94,Seth Roberts,CAR,WR,98,4,
95,Trey Quinn,WAS,WR,91,-4,
