FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Patrick Mahomes,KC,QB,1,0,
2,Lamar Jackson,BAL,QB,2,0,
3,Matt Ryan,ATL,QB,7,4,
4,Carson Wentz,PHI,QB,5,1,
5,Tom Brady,TB,QB,3,-2,
6,Deshaun Watson,HOU,QB,4,-2,
7,Cam Newton,NE,QB,8,1,
8,Dak Prescott,DAL,QB,6,-2,
9,Ben Roethlisberger,PIT,QB,,,
10,Baker Mayfield,CLE,QB,11,1,
11,Jared Goff,LAR,QB,9,-2,
12,Russell Wilson,SEA,QB,14,2,
13,Drew Brees,NO,QB,12,-1,
14,Derek Carr,LV,QB,17,3,
15,Josh Allen,BUF,QB,13,-2,
16,Kyler Murray,ARI,QB,20,4,
17,Kirk Cousins,MIN,QB,23,6,
18,Jameis Winston,NO,QB,16,-2,
19,Aaron Rodgers,GB,QB,10,-9,
20,Philip Rivers,IND,QB,15,-5,
21,Matthew Stafford,DET,QB,19,-2,
22,Mitch Trubisky,CHI,QB,24,2,
23,Andy Dalton,DAL,QB,18,-5,
24,Jimmy Garoppolo,SF,QB,21,-3,
25,Marcus Mariota,LV,QB,22,-3,
26,Jacoby Brissett,IND,QB,25,-1,
27,Gardner Minshew II,JAC,QB,27,0,
28,Ryan Fitzpatrick,MIA,QB,29,1,
29,Eli Manning,FA,QB,28,-1,
30,Case Keenum,CLE,QB,26,-4,
31,Trevor Siemian,FA,QB,,,
32,Joe Flacco,NYJ,QB,30,-2,
