FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,George Kittle,SF,TE,1,0,
2,Austin Hooper,CLE,TE,6,4,
3,Travis Kelce,KC,TE,3,0,
4,Evan Engram,NYG,TE,5,1,
5,Darren Waller,LV,TE,2,-3,
6,Zach Ertz,PHI,TE,7,1,
7,Jacob Hollister,SEA,TE,29,22,
8,Gerald Everett,LAR,TE,8,0,
9,Hunter Henry,LAC,TE,4,-5,
10,Josh Hill,NO,TE,20,10,
11,T.J. Hockenson,DET,TE,9,-2,
12,Vance McDonald,PIT,TE,13,1,
13,Eric Ebron,PIT,TE,12,-1,
14,Cameron Brate,TB,TE,16,2,
15,Jonnu Smith,TEN,TE,14,-1,
16,Noah Fant,DEN,TE,21,5,
17,Benjamin Watson,FA,TE,25,8,
18,Jimmy Graham,CHI,TE,11,-7,
19,Jordan Akins,HOU,TE,22,3,
20,Greg Olsen,SEA,TE,10,-10,
21,Trey Burton,IND,TE,27,6,
22,Dallas Goedert,PHI,TE,15,-7,
23,Kyle Rudolph,MIN,TE,18,-5,
24,Jack Doyle,IND,TE,23,-1,
25,Darren Fells,HOU,TE,17,-8,
26,Ricky Seals-Jones,KC,TE,28,2,
27,Dawson Knox,BUF,TE,19,-8,
28,Mike Gesicki,MIA,TE,26,-2,
29,Tyler Eifert,JAC,TE,31,2,
30,Tyler Higbee,LAR,TE,32,2,
31,Irv Smith Jr.,MIN,TE,24,-7,
32,Ryan Griffin,NYJ,TE,37,5,
33,Jeff Heuerman,FA,TE,46,13,
34,Jeremy Sprinkle,WAS,TE,34,0,
35,Seth DeValve,FA,TE,36,1,
36,Josh Oliver,JAC,TE,35,-1,
37,Maxx Williams,ARI,TE,40,3,
