FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,New England Patriots,NE,DST,2,1,
2,Pittsburgh Steelers,PIT,DST,1,-1,
3,Los Angeles Rams,LAR,DST,5,2,
4,Minnesota Vikings,MIN,DST,3,-1,
5,San Francisco 49ers,SF,DST,4,-1,
6,Jacksonville Jaguars,JAC,DST,9,3,
7,Chicago Bears,CHI,DST,6,-1,
8,Carolina Panthers,CAR,DST,16,8,
9,New Orleans Saints,NO,DST,10,1,
10,Buffalo Bills,BUF,DST,7,-3,
11,Los Angeles Chargers,LAC,DST,17,6,
12,Detroit Lions,DET,DST,14,2,
13,Tennessee Titans,TEN,DST,8,-5,
14,Philadelphia Eagles,PHI,DST,15,1,
15,Indianapolis Colts,IND,DST,13,-2,
16,Denver Broncos,DEN,DST,20,4,
17,Seattle Seahawks,SEA,DST,12,-5,
18,Green Bay Packers,GB,DST,11,-7,
19,New York Jets,NYJ,DST,19,0,
20,Houston Texans,HOU,DST,18,-2,
21,Washington Football Team,WAS,DST,27,6,
22,Tampa Bay Buccaneers,TB,DST,21,-1,
23,Kansas City Chiefs,KC,DST,23,0,
24,Arizona Cardinals,ARI,DST,24,0,
25,Las Vegas Raiders,LV,DST,25,0,
26,New York Giants,NYG,DST,22,-4,
27,Cleveland Browns,CLE,DST,26,-1,
28,Cincinnati Bengals,CIN,DST,31,3,
29,Atlanta Falcons,ATL,DST,28,-1,
30,Miami Dolphins,MIA,DST,30,0,
