FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Wil Lutz,NO,K,1,0,
2,Justin Tucker,BAL,K,2,0,
3,Younghoe Koo,ATL,K,3,0,
4,Austin Seibert,CLE,K,7,3,
5,Matt Gay,TB,K,4,-1,
6,Nick Folk,FA,K,6,0,
7,Ka'imi Fairbairn,HOU,K,5,-2,
8,Matt Prater,DET,K,9,1,
9,Greg Zuerlein,DAL,K,8,-1,
10,Jason Myers,SEA,K,10,0,
11,Chris Boswell,PIT,K,13,2,
12,Stephen Hauschka,BUF,K,12,0,
13,Daniel Carlson,LV,K,11,-2,
14,Josh Lambo,JAC,K,16,2,
15,Jake Elliott,PHI,K,14,-1,
16,Joey Slye,CAR,K,15,-1,
17,Brett Maher,NYJ,K,19,2,
18,Mason Crosby,GB,K,18,0,
19,Eddy Pineiro,CHI,K,22,3,
20,Ryan Succop,FA,K,20,0,
