FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,DeAndre Hopkins,ARI,WR,1,0,
2,Julio Jones,ATL,WR,2,0,
3,Davante Adams,GB,WR,5,2,
4,Mike Evans,TB,WR,9,5,
5,Odell Beckham Jr.,CLE,WR,4,-1,
6,Keenan Allen,LAC,WR,3,-3,
7,Adam Thielen,MIN,WR,14,7,
8,Michael Thomas,NO,WR,10,2,
9,Chris Godwin,TB,WR,8,-1,
10,Amari Cooper,DAL,WR,6,-4,
11,Sammy Watkins,KC,WR,7,-4,
12,Tyler Lockett,SEA,WR,12,0,
13,JuJu Smith-Schuster,PIT,WR,11,-2,
14,Kenny Golladay,DET,WR,13,-1,
15,Stefon Diggs,BUF,WR,22,7,
16,Brandin Cooks,HOU,WR,18,2,
17,T.Y. Hilton,IND,WR,16,-1,
18,Julian Edelman,NE,WR,17,-1,
19,Robert Woods,LAR,WR,19,0,
20,Marquise Brown,BAL,WR,27,7,
21,Tyler Boyd,CIN,WR,26,5,
22,Cooper Kupp,LAR,WR,15,-7,
23,Josh Gordon,FA,WR,21,-2,
24,D.J. Moore,CAR,WR,28,4,
25,Mike Williams,LAC,WR,30,5,
26,John Brown,BUF,WR,24,-2,
27,Allen Robinson,CHI,WR,25,-2,
28,Calvin Ridley,ATL,WR,23,-5,
29,Will Fuller,HOU,WR,32,3,
30,Larry Fitzgerald,ARI,WR,20,-10,
31,Sterling Shepard,NYG,WR,42,11,
32,Emmanuel Sanders,NO,WR,31,-1,
33,Curtis Samuel,CAR,WR,36,3,
34,Marvin Jones,DET,WR,37,3,
35,Marquez Valdes-Scantling,GB,WR,45,10,
36,Mecole Hardman,KC,WR,38,2,
37,Christian Kirk,ARI,WR,29,-8,
38,Tyrell Williams,LV,WR,33,-5,
39,Terry McLaurin,WAS,WR,43,4,
40,Nelson Agholor,LV,WR,34,-6,
41,Jarvis Landry,CLE,WR,41,0,
42,D.K. Metcalf,SEA,WR,35,-7,
43,Randall Cobb,HOU,WR,49,6,
44,Robby Anderson,CAR,WR,46,2,
45,Courtland Sutton,DEN,WR,44,-1,
46,John Ross,CIN,WR,40,-6,
47,Demarcus Robinson,KC,WR,39,-8,
48,Marquise Goodwin,PHI,WR,51,3,
49,D.J. Chark,JAC,WR,47,-2,
50,TJ Jones,FA,WR,92,42,
51,Dede Westbrook,JAC,WR,52,1,
52,Jamison Crowder,NYJ,WR,50,-2,
53,DeVante Parker,MIA,WR,65,12,
54,Anthony Miller,CHI,WR,77,23,
55,Devin Smith,DAL,WR,58,3,
56,J.J. Arcega-Whiteside,PHI,WR,57,1,
57,Corey Davis,TEN,WR,56,-1,
58,Geronimo Allison,DET,WR,62,4,
59,Cole Beasley,BUF,WR,61,2,
60,Phillip Dorsett,SEA,WR,54,-6,
61,James Washington,PIT,WR,53,-8,
62,Chris Conley,JAC,WR,55,-7,
63,Miles Boykin,BAL,WR,74,11,
64,Mack Hollins,MIA,WR,71,7,
65,Mohamed Sanu,NE,WR,59,-6,
66,Breshad Perriman,NYJ,WR,87,21,
67,Deebo Samuel,SF,WR,48,-19,
68,A.J. Brown,TEN,WR,60,-8,
69,Trey Quinn,WAS,WR,67,-2,
70,Danny Amendola,DET,WR,68,-2,
71,Ted Ginn,CHI,WR,66,-5,
72,Diontae Johnson,PIT,WR,78,6,
73,KeeSean Johnson,ARI,WR,70,-3,
74,Adam Humphries,TEN,WR,85,11,
75,Preston Williams,MIA,WR,63,-12,
76,Hunter Renfrow,LV,WR,76,0,
77,Dante Pettis,SF,WR,82,5,
78,Paul Richardson Jr.,FA,WR,73,-5,
79,Keke Coutee,HOU,WR,72,-7,
80,Jaron Brown,FA,WR,98,18,
81,Michael Crabtree,FA,WR,89,8,
82,DaeSean Hamilton,DEN,WR,84,2,
83,Taylor Gabriel,FA,WR,79,-4,
84,Parris Campbell,IND,WR,80,-4,
85,Rashard Higgins,CLE,WR,,,
86,Chester Rogers,MIA,WR,99,13,
87,Kenny Stills,HOU,WR,64,-23,
88,Travis Benjamin,SF,WR,86,-2,
89,Dontrelle Inman,WAS,WR,96,7,
90,Josh Reynolds,LAR,WR,97,7,
91,Deon Cain,PIT,WR,83,-8,
92,Willie Snead,BAL,WR,75,-17,
93,Zay Jones,LV,WR,81,-12,
94,Damiere Byrd,NE,WR,69,-25,
