FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,George Kittle,SF,TE,1,0,
2,Travis Kelce,KC,TE,3,1,
3,Darren Waller,LV,TE,2,-1,
4,Hunter Henry,LAC,TE,4,0,
5,Mark Andrews,BAL,TE,6,1,
6,Evan Engram,NYG,TE,5,-1,
7,Zach Ertz,PHI,TE,7,0,
8,Jacob Hollister,SEA,TE,21,13,
9,Jonnu Smith,TEN,TE,9,0,
10,Eric Ebron,PIT,TE,11,1,
11,Cameron Brate,TB,TE,12,1,
12,Greg Olsen,SEA,TE,8,-4,
13,Jimmy Graham,CHI,TE,15,2,
14,Vance McDonald,PIT,TE,16,2,
15,T.J. Hockenson,DET,TE,10,-5,
16,Darren Fells,HOU,TE,14,-2,
17,Chris Herndon IV,NYJ,TE,35,18,
18,Dallas Goedert,PHI,TE,13,-5,
19,Jack Doyle,IND,TE,18,-1,
20,Jason Witten,LV,TE,17,-3,
21,Benjamin Watson,FA,TE,26,5,
22,Kyle Rudolph,MIN,TE,20,-2,
23,Trey Burton,IND,TE,27,4,
24,Noah Fant,DEN,TE,19,-5,
25,Jordan Akins,HOU,TE,22,-3,
26,Hayden Hurst,ATL,TE,32,6,
27,Tyler Kroft,BUF,TE,37,10,
28,Ryan Griffin,NYJ,TE,28,0,
29,Ricky Seals-Jones,KC,TE,30,1,
30,Demetrius Harris,CHI,TE,41,11,
31,Josh Oliver,JAC,TE,31,0,
32,Irv Smith Jr.,MIN,TE,24,-8,
33,Mike Gesicki,MIA,TE,23,-10,
34,Jeremy Sprinkle,WAS,TE,29,-5,
35,Charles Clay,FA,TE,39,4,
36,Dawson Knox,BUF,TE,25,-11,
37,Seth DeValve,FA,TE,42,5,
