FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Christian McCaffrey,CAR,RB,1,0,
2,Dalvin Cook,MIN,RB,2,0,
3,Ezekiel Elliott,DAL,RB,3,0,
4,Nick Chubb,CLE,RB,6,2,
5,Aaron Jones,GB,RB,5,0,
6,Saquon Barkley,NYG,RB,4,-2,
7,Derrick Henry,TEN,RB,10,3,
8,Leonard Fournette,JAC,RB,7,-1,
9,Josh Jacobs,LV,RB,8,-1,
10,Tevin Coleman,SF,RB,12,2,
11,Le'Veon Bell,NYJ,RB,9,-2,
12,Chris Carson,SEA,RB,11,-1,
13,Marlon Mack,IND,RB,13,0,
14,Phillip Lindsay,DEN,RB,15,1,
15,Melvin Gordon,DEN,RB,17,2,
16,Sony Michel,NE,RB,14,-2,
17,Jordan Howard,MIA,RB,20,3,
18,Royce Freeman,DEN,RB,18,0,
19,Mark Ingram II,BAL,RB,19,0,
20,Jaylen Samuels,PIT,RB,16,-4,
21,Carlos Hyde,SEA,RB,22,1,
22,Austin Ekeler,LAC,RB,21,-1,
23,Adrian Peterson,WAS,RB,24,1,
24,David Montgomery,CHI,RB,23,-1,
25,Frank Gore,NYJ,RB,28,3,
26,Kenyan Drake,ARI,RB,31,5,
27,Mark Walton,FA,RB,25,-2,
28,James White,NE,RB,29,1,
29,LeSean McCoy,TB,RB,30,1,
30,Damien Williams,KC,RB,35,5,
31,Ty Johnson,DET,RB,33,2,
32,Matt Breida,MIA,RB,34,2,
33,Devin Singletary,BUF,RB,26,-7,
34,Miles Sanders,PHI,RB,32,-2,
35,Tarik Cohen,CHI,RB,37,2,
36,Ronald Jones II,TB,RB,36,0,
37,Raheem Mostert,SF,RB,43,6,
38,Jamaal Williams,GB,RB,27,-11,
39,Zach Zenner,FA,RB,46,7,
40,Peyton Barber,WAS,RB,38,-2,
41,Alexander Mattison,MIN,RB,40,-1,
42,Rashaad Penny,SEA,RB,41,-1,
43,Kalen Ballage,MIA,RB,42,-1,
44,Gus Edwards,BAL,RB,45,1,
45,Jeff Wilson,SF,RB,56,11,
46,Duke Johnson,HOU,RB,39,-7,
47,Rex Burkhead,NE,RB,47,0,
48,DeAndre Washington,KC,RB,48,0,
49,Bilal Powell,FA,RB,68,19,
50,J.D. McKissic,WAS,RB,44,-6,
51,Nyheim Hines,IND,RB,50,-1,
52,Justice Hill,BAL,RB,58,6,
53,Wendell Smallwood,PIT,RB,49,-4,
54,Dare Ogunbowale,TB,RB,51,-3,
55,Jordan Wilkins,IND,RB,60,5,
56,Ty Montgomery,NO,RB,63,7,
57,Dontrell Hilliard,CLE,RB,61,4,
58,Ryquell Armstead,JAC,RB,62,4,
59,Jalen Richard,LV,RB,54,-5,
