FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,New England Patriots,NE,DST,1,0,
2,Pittsburgh Steelers,PIT,DST,4,2,
3,Baltimore Ravens,BAL,DST,6,3,
4,Kansas City Chiefs,KC,DST,5,1,
5,San Francisco 49ers,SF,DST,8,3,
6,Green Bay Packers,GB,DST,3,-3,
7,New Orleans Saints,NO,DST,2,-5,
8,Atlanta Falcons,ATL,DST,9,1,
9,Los Angeles Rams,LAR,DST,7,-2,
10,Chicago Bears,CHI,DST,17,7,
11,Denver Broncos,DEN,DST,13,2,
12,Indianapolis Colts,IND,DST,10,-2,
13,Minnesota Vikings,MIN,DST,12,-1,
14,New York Jets,NYJ,DST,11,-3,
15,Seattle Seahawks,SEA,DST,19,4,
16,Philadelphia Eagles,PHI,DST,14,-2,
17,Houston Texans,HOU,DST,20,3,
18,Buffalo Bills,BUF,DST,16,-2,
19,Washington Football Team,WAS,DST,26,7,
20,Tampa Bay Buccaneers,TB,DST,23,3,
21,Dallas Cowboys,DAL,DST,15,-6,
22,Tennessee Titans,TEN,DST,18,-4,
