FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Julio Jones,ATL,WR,1,0,
2,Michael Thomas,NO,WR,2,0,
3,Tyreek Hill,KC,WR,3,0,
4,Davante Adams,GB,WR,4,0,
5,Allen Robinson,CHI,WR,6,1,
6,Julian Edelman,NE,WR,8,2,
7,Courtland Sutton,DEN,WR,5,-2,
8,Robert Woods,LAR,WR,11,3,
9,Amari Cooper,DAL,WR,9,0,
10,A.J. Brown,TEN,WR,7,-3,
11,Tyler Lockett,SEA,WR,14,3,
12,Keenan Allen,LAC,WR,13,1,
13,Jarvis Landry,CLE,WR,17,4,
14,Kenny Golladay,DET,WR,10,-4,
15,Tyler Boyd,CIN,WR,15,0,
16,Breshad Perriman,NYJ,WR,12,-4,
17,Cooper Kupp,LAR,WR,19,2,
18,D.J. Chark,JAC,WR,27,9,
19,Sterling Shepard,NYG,WR,23,4,
20,Michael Gallup,DAL,WR,16,-4,
21,Emmanuel Sanders,NO,WR,21,0,
22,Odell Beckham Jr.,CLE,WR,20,-2,
23,DeAndre Hopkins,ARI,WR,60,37,
24,T.Y. Hilton,IND,WR,25,1,
25,Greg Ward,PHI,WR,31,6,
26,Darius Slayton,NYG,WR,33,7,
27,D.K. Metcalf,SEA,WR,22,-5,
28,Christian Kirk,ARI,WR,30,2,
29,DeVante Parker,MIA,WR,18,-11,
30,Deebo Samuel,SF,WR,26,-4,
31,Mike Williams,LAC,WR,24,-7,
32,Justin Watson,TB,WR,28,-4,
33,Anthony Miller,CHI,WR,29,-4,
34,Robby Anderson,CAR,WR,32,-2,
35,JuJu Smith-Schuster,PIT,WR,43,8,
36,Jamison Crowder,NYJ,WR,34,-2,
37,Chris Conley,JAC,WR,38,1,
38,Brandin Cooks,HOU,WR,49,11,
39,Stefon Diggs,BUF,WR,70,31,
40,Golden Tate,NYG,WR,35,-5,
41,Zach Pascal,IND,WR,45,4,
42,Larry Fitzgerald,ARI,WR,40,-2,
43,Adam Thielen,MIN,WR,71,28,
44,Tyrell Williams,LV,WR,42,-2,
45,Curtis Samuel,CAR,WR,39,-6,
46,James Washington,PIT,WR,41,-5,
47,Dede Westbrook,JAC,WR,50,3,
48,Kelvin Harmon,WAS,WR,54,6,
49,John Ross,CIN,WR,37,-12,
50,Randall Cobb,HOU,WR,53,3,
51,Sammy Watkins,KC,WR,46,-5,
52,Diontae Johnson,PIT,WR,47,-5,
53,Kenny Stills,HOU,WR,,,
54,Russell Gage,ATL,WR,44,-10,
55,Danny Amendola,DET,WR,48,-7,
56,Vyncint Smith,NYJ,WR,62,6,
57,Steven Sims,WAS,WR,36,-21,
58,N'Keal Harry,NE,WR,56,-2,
59,Allen Lazard,GB,WR,52,-7,
60,Hunter Renfrow,LV,WR,51,-9,
61,Corey Davis,TEN,WR,57,-4,
62,Mohamed Sanu,NE,WR,58,-4,
63,Ted Ginn,CHI,WR,61,-2,
64,Tre'Quan Smith,NO,WR,68,4,
65,Albert Wilson,MIA,WR,55,-10,
66,Kendrick Bourne,SF,WR,64,-2,
67,Mecole Hardman,KC,WR,69,2,
68,Tim Patrick,DEN,WR,66,-2,
69,J.J. Arcega-Whiteside,PHI,WR,67,-2,
70,Alex Erickson,CIN,WR,59,-11,
71,Marcus Johnson,IND,WR,65,-6,
72,Jakobi Meyers,NE,WR,72,0,
73,Demarcus Robinson,KC,WR,76,3,
74,Tajae Sharpe,MIN,WR,63,-11,
75,DaeSean Hamilton,DEN,WR,74,-1,
