FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Julio Jones,ATL,WR,1,0,
2,Mike Evans,TB,WR,4,2,
3,Michael Thomas,NO,WR,2,-1,
4,DeAndre Hopkins,ARI,WR,3,-1,
5,Odell Beckham Jr.,CLE,WR,5,0,
6,Chris Godwin,TB,WR,6,0,
7,Davante Adams,GB,WR,7,0,
8,Julian Edelman,NE,WR,9,1,
9,Allen Robinson,CHI,WR,14,5,
10,Tyler Lockett,SEA,WR,8,-2,
11,D.J. Chark,JAC,WR,10,-1,
12,D.J. Moore,CAR,WR,13,1,
13,Calvin Ridley,ATL,WR,11,-2,
14,T.Y. Hilton,IND,WR,19,5,
15,Courtland Sutton,DEN,WR,20,5,
16,Kenny Golladay,DET,WR,17,1,
17,Amari Cooper,DAL,WR,15,-2,
18,Cooper Kupp,LAR,WR,12,-6,
19,Jarvis Landry,CLE,WR,18,-1,
20,John Brown,BUF,WR,16,-4,
21,Jamison Crowder,NYJ,WR,21,0,
22,Marvin Jones,DET,WR,26,4,
23,Emmanuel Sanders,NO,WR,33,10,
24,Robert Woods,LAR,WR,34,10,
25,Curtis Samuel,CAR,WR,27,2,
26,D.K. Metcalf,SEA,WR,23,-3,
27,Tyrell Williams,LV,WR,22,-5,
28,Will Fuller,HOU,WR,32,4,
29,DeVante Parker,MIA,WR,25,-4,
30,Brandin Cooks,HOU,WR,39,9,
31,Golden Tate,NYG,WR,30,-1,
32,Michael Gallup,DAL,WR,24,-8,
33,Terry McLaurin,WAS,WR,28,-5,
34,Tyler Boyd,CIN,WR,36,2,
35,Dede Westbrook,JAC,WR,38,3,
36,Diontae Johnson,PIT,WR,50,14,
37,Zach Pascal,IND,WR,41,4,
38,Josh Gordon,FA,WR,46,8,
39,Deebo Samuel,SF,WR,29,-10,
40,Taylor Gabriel,FA,WR,48,8,
41,Chris Conley,JAC,WR,47,6,
42,Demaryius Thomas,FA,WR,43,1,
43,Marquise Brown,BAL,WR,31,-12,
44,James Washington,PIT,WR,35,-9,
45,Kenny Stills,HOU,WR,40,-5,
46,Robby Anderson,CAR,WR,37,-9,
47,Jordan Matthews,FA,WR,56,9,
48,Corey Davis,TEN,WR,55,7,
49,A.J. Brown,TEN,WR,44,-5,
50,Russell Gage,ATL,WR,51,1,
51,Sterling Shepard,NYG,WR,45,-6,
52,Randall Cobb,HOU,WR,52,0,
53,Darius Slayton,NYG,WR,42,-11,
54,Danny Amendola,DET,WR,60,6,
55,Ted Ginn,CHI,WR,53,-2,
56,Allen Lazard,GB,WR,62,6,
57,Anthony Miller,CHI,WR,61,4,
58,Cole Beasley,BUF,WR,54,-4,
59,Hunter Renfrow,LV,WR,49,-10,
60,Mack Hollins,MIA,WR,77,17,
61,Auden Tate,CIN,WR,79,18,
62,Tim Patrick,DEN,WR,58,-4,
63,N'Keal Harry,NE,WR,59,-4,
64,Allen Hurns,MIA,WR,57,-7,
65,Geronimo Allison,DET,WR,70,5,
66,Chester Rogers,MIA,WR,84,18,
67,J.J. Arcega-Whiteside,PHI,WR,73,6,
68,Kendrick Bourne,SF,WR,64,-4,
69,Greg Ward,PHI,WR,110,41,
70,Jakobi Meyers,NE,WR,81,11,
71,Mohamed Sanu,NE,WR,,,
72,Josh Reynolds,LAR,WR,68,-4,
73,Isaiah McKenzie,BUF,WR,75,2,
74,Alex Erickson,CIN,WR,65,-9,
75,Marcus Johnson,IND,WR,86,11,
76,Adam Humphries,TEN,WR,63,-13,
77,Breshad Perriman,NYJ,WR,85,8,
78,Tre'Quan Smith,NO,WR,66,-12,
79,Willie Snead,BAL,WR,74,-5,
80,Paul Richardson Jr.,FA,WR,93,13,
81,Jakeem Grant,MIA,WR,72,-9,
82,Albert Wilson,MIA,WR,67,-15,
83,Zay Jones,LV,WR,71,-12,
84,Marquez Valdes-Scantling,GB,WR,69,-15,
85,Scott Miller,TB,WR,76,-9,
86,Tajae Sharpe,MIN,WR,88,2,
87,Kelvin Harmon,WAS,WR,80,-7,
88,Miles Boykin,BAL,WR,91,3,
89,Seth Roberts,CAR,WR,100,11,
90,Trey Quinn,WAS,WR,83,-7,
91,DaeSean Hamilton,DEN,WR,98,7,
92,Jarius Wright,FA,WR,89,-3,
