FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Zach Ertz,PHI,TE,2,1,
2,George Kittle,SF,TE,1,-1,
3,Travis Kelce,KC,TE,3,0,
4,Darren Waller,LV,TE,5,1,
5,Austin Hooper,CLE,TE,8,3,
6,Jack Doyle,IND,TE,10,4,
7,Hunter Henry,LAC,TE,4,-3,
8,Dallas Goedert,PHI,TE,11,3,
9,Mark Andrews,BAL,TE,9,0,
10,O.J. Howard,TB,TE,12,2,
11,Jacob Hollister,SEA,TE,14,3,
12,Jared Cook,NO,TE,7,-5,
13,Tyler Higbee,LAR,TE,6,-7,
14,David Njoku,CLE,TE,,,
15,Ian Thomas,CAR,TE,13,-2,
16,Darren Fells,HOU,TE,20,4,
17,Noah Fant,DEN,TE,15,-2,
18,Jesper Horsted,CHI,TE,32,14,
19,Mike Gesicki,MIA,TE,16,-3,
20,Nick O'Leary,FA,TE,25,5,
21,Kyle Rudolph,MIN,TE,17,-4,
22,Jason Witten,LV,TE,19,-3,
23,Jimmy Graham,CHI,TE,23,0,
24,Tyler Eifert,JAC,TE,30,6,
25,Dawson Knox,BUF,TE,26,1,
26,Irv Smith Jr.,MIN,TE,27,1,
27,Jonnu Smith,TEN,TE,18,-9,
28,Logan Thomas,WAS,TE,28,0,
29,Hayden Hurst,ATL,TE,24,-5,
30,Nick Vannett,DEN,TE,34,4,
31,Blake Jarwin,DAL,TE,31,0,
32,Kaden Smith,NYG,TE,21,-11,
33,Jordan Akins,HOU,TE,29,-4,
34,Cameron Brate,TB,TE,22,-12,
35,Benjamin Watson,FA,TE,33,-2,
36,J.P. Holtz,CHI,TE,39,3,
37,C.J. Uzomah,CIN,TE,41,4,
38,Nick Boyle,BAL,TE,35,-3,
39,Josh Hill,NO,TE,43,4,
40,Jeff Heuerman,FA,TE,45,5,
41,Anthony Firkser,TEN,TE,36,-5,
42,Jeremy Sprinkle,WAS,TE,37,-5,
43,Matt LaCosse,NE,TE,40,-3,
44,Jesse James,DET,TE,42,-2,
45,Daniel Brown,NYJ,TE,38,-7,
46,Charles Clay,FA,TE,46,0,
47,Maxx Williams,ARI,TE,48,1,
