FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Wil Lutz,NO,K,1,0,
2,Justin Tucker,BAL,K,2,0,
3,Harrison Butker,KC,K,3,0,
4,Matt Gay,TB,K,4,0,
5,Michael Badgley,LAC,K,6,1,
6,Mason Crosby,GB,K,8,2,
7,Greg Zuerlein,DAL,K,5,-2,
8,Adam Vinatieri,FA,K,10,2,
9,Brett Maher,NYJ,K,7,-2,
10,Zane Gonzalez,ARI,K,9,-1,
11,Dan Bailey,MIN,K,11,0,
12,Matt Prater,DET,K,13,1,
13,Aldrick Rosas,FA,K,15,2,
14,Joey Slye,CAR,K,12,-2,
15,Jason Myers,SEA,K,16,1,
16,Stephen Hauschka,BUF,K,19,3,
17,Daniel Carlson,LV,K,14,-3,
18,Chase McLaughlin,IND,K,22,4,
19,Eddy Pineiro,CHI,K,18,-1,
20,Ryan Succop,FA,K,20,0,
21,Austin Seibert,CLE,K,21,0,
22,Chris Boswell,PIT,K,17,-5,
