FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Chicago Bears,CHI,DST,2,1,
2,New England Patriots,NE,DST,1,-1,
3,Philadelphia Eagles,PHI,DST,3,0,
4,Buffalo Bills,BUF,DST,5,1,
5,Tennessee Titans,TEN,DST,4,-1,
6,Minnesota Vikings,MIN,DST,6,0,
7,Carolina Panthers,CAR,DST,7,0,
8,Baltimore Ravens,BAL,DST,9,1,
9,New Orleans Saints,NO,DST,10,1,
10,Los Angeles Chargers,LAC,DST,8,-2,
11,Los Angeles Rams,LAR,DST,16,5,
12,Jacksonville Jaguars,JAC,DST,12,0,
13,San Francisco 49ers,SF,DST,11,-2,
14,Atlanta Falcons,ATL,DST,25,11,
15,Seattle Seahawks,SEA,DST,17,2,
16,Green Bay Packers,GB,DST,19,3,
17,Kansas City Chiefs,KC,DST,14,-3,
18,Pittsburgh Steelers,PIT,DST,21,3,
19,Cleveland Browns,CLE,DST,20,1,
20,Tampa Bay Buccaneers,TB,DST,18,-2,
21,Houston Texans,HOU,DST,13,-8,
22,Dallas Cowboys,DAL,DST,22,0,
23,Las Vegas Raiders,LV,DST,23,0,
24,New York Giants,NYG,DST,27,3,
25,Arizona Cardinals,ARI,DST,26,1,
26,Denver Broncos,DEN,DST,24,-2,
27,Cincinnati Bengals,CIN,DST,15,-12,
28,New York Jets,NYJ,DST,28,0,
29,Washington Football Team,WAS,DST,30,1,
30,Indianapolis Colts,IND,DST,29,-1,
