FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Stephen Gostkowski,FA,K,1,0,
2,Brett Maher,NYJ,K,2,0,
3,Greg Zuerlein,DAL,K,4,1,
4,Harrison Butker,KC,K,3,-1,
5,Justin Tucker,BAL,K,5,0,
6,Robbie Gould,SF,K,6,0,
7,Jake Elliott,PHI,K,8,1,
8,Mason Crosby,GB,K,7,-1,
9,Jason Myers,SEA,K,10,1,
10,Ka'imi Fairbairn,HOU,K,9,-1,
11,Matt Gay,TB,K,14,3,
12,Dan Bailey,MIN,K,11,-1,
13,Joey Slye,CAR,K,12,-1,
14,Matt Bryant,FA,K,13,-1,
15,Stephen Hauschka,BUF,K,16,1,
16,Zane Gonzalez,ARI,K,15,-1,
17,Matt Prater,DET,K,17,0,
18,Wil Lutz,NO,K,19,1,
19,Austin Seibert,CLE,K,18,-1,
20,Aldrick Rosas,FA,K,22,2,
