FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Leonard Fournette,JAC,RB,2,1,
2,Dalvin Cook,MIN,RB,1,-1,
3,Saquon Barkley,NYG,RB,3,0,
4,Ezekiel Elliott,DAL,RB,4,0,
5,Derrick Henry,TEN,RB,6,1,
6,Chris Carson,SEA,RB,5,-1,
7,David Johnson,HOU,RB,7,0,
8,Devonta Freeman,FA,RB,15,7,
9,Todd Gurley,ATL,RB,14,5,
10,Le'Veon Bell,NYJ,RB,8,-2,
11,Josh Jacobs,LV,RB,9,-2,
12,Aaron Jones,GB,RB,11,-1,
13,Melvin Gordon,DEN,RB,20,7,
14,Marlon Mack,IND,RB,12,-2,
15,Phillip Lindsay,DEN,RB,10,-5,
16,Mark Ingram II,BAL,RB,13,-3,
17,Kerryon Johnson,DET,RB,17,0,
18,Sony Michel,NE,RB,16,-2,
19,Joe Mixon,CIN,RB,19,0,
20,Matt Breida,MIA,RB,23,3,
21,Tevin Coleman,SF,RB,18,-3,
22,Latavius Murray,NO,RB,22,0,
23,Frank Gore,NYJ,RB,24,1,
24,LeSean McCoy,TB,RB,29,5,
25,James White,NE,RB,30,5,
26,Royce Freeman,DEN,RB,21,-5,
27,Carlos Hyde,SEA,RB,25,-2,
28,Austin Ekeler,LAC,RB,27,-1,
29,Devin Singletary,BUF,RB,32,3,
30,Jordan Howard,MIA,RB,28,-2,
31,Jamaal Williams,GB,RB,33,2,
32,David Montgomery,CHI,RB,26,-6,
33,Damien Williams,KC,RB,31,-2,
34,Miles Sanders,PHI,RB,35,1,
35,Tarik Cohen,CHI,RB,42,7,
36,Kenyan Drake,ARI,RB,36,0,
37,Chase Edmonds,ARI,RB,37,0,
38,Adrian Peterson,WAS,RB,34,-4,
39,Duke Johnson,HOU,RB,39,0,
40,Rashaad Penny,SEA,RB,47,7,
41,Gus Edwards,BAL,RB,40,-1,
42,Ito Smith,ATL,RB,41,-1,
43,Alexander Mattison,MIN,RB,43,0,
44,Wendell Smallwood,PIT,RB,51,7,
45,Darrell Henderson,LAR,RB,38,-7,
46,Nyheim Hines,IND,RB,46,0,
47,DeAndre Washington,KC,RB,52,5,
48,Tony Pollard,DAL,RB,49,1,
49,Raheem Mostert,SF,RB,48,-1,
50,Dion Lewis,NYG,RB,50,0,
51,Brandon Bolden,NE,RB,53,2,
52,Ryquell Armstead,JAC,RB,64,12,
53,Mark Walton,FA,RB,44,-9,
54,Giovani Bernard,CIN,RB,45,-9,
55,Justice Hill,BAL,RB,55,0,
56,Darrel Williams,KC,RB,54,-2,
57,J.D. McKissic,WAS,RB,59,2,
58,Jalen Richard,LV,RB,56,-2,
