FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Hunter Henry,LAC,TE,2,1,
2,Travis Kelce,KC,TE,1,-1,
3,Austin Hooper,CLE,TE,3,0,
4,O.J. Howard,TB,TE,11,7,
5,Mark Andrews,BAL,TE,4,-1,
6,Darren Waller,LV,TE,5,-1,
7,Gerald Everett,LAR,TE,7,0,
8,Jacob Hollister,SEA,TE,10,2,
9,Mike Gesicki,MIA,TE,14,5,
10,Greg Olsen,SEA,TE,6,-4,
11,Jack Doyle,IND,TE,12,1,
12,Kyle Rudolph,MIN,TE,19,7,
13,Eric Ebron,PIT,TE,9,-4,
14,Jonnu Smith,TEN,TE,8,-6,
15,T.J. Hockenson,DET,TE,16,1,
16,Jimmy Graham,CHI,TE,18,2,
17,Chris Herndon IV,NYJ,TE,,,
18,Vance McDonald,PIT,TE,15,-3,
19,Jared Cook,NO,TE,13,-6,
20,Jason Witten,LV,TE,17,-3,
21,Ryan Griffin,NYJ,TE,23,2,
22,Dawson Knox,BUF,TE,21,-1,
23,Irv Smith Jr.,MIN,TE,20,-3,
24,Ross Dwelley,SF,TE,26,2,
25,Tyler Eifert,JAC,TE,24,-1,
26,Charles Clay,FA,TE,32,6,
27,Trey Burton,IND,TE,,,
28,Demetrius Harris,CHI,TE,28,0,
29,Maxx Williams,ARI,TE,35,6,
