FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Harrison Butker,KC,K,1,0,
2,Wil Lutz,NO,K,2,0,
3,Younghoe Koo,ATL,K,11,8,
4,Greg Zuerlein,DAL,K,4,0,
5,Matt Gay,TB,K,9,4,
6,Brett Maher,NYJ,K,8,2,
7,Justin Tucker,BAL,K,3,-4,
8,Michael Badgley,LAC,K,10,2,
9,Mason Crosby,GB,K,6,-3,
10,Zane Gonzalez,ARI,K,7,-3,
11,Austin Seibert,CLE,K,18,7,
12,Joey Slye,CAR,K,12,0,
13,Jake Elliott,PHI,K,5,-8,
14,Daniel Carlson,LV,K,19,5,
15,Dan Bailey,MIN,K,15,0,
16,Ka'imi Fairbairn,HOU,K,16,0,
17,Matt Prater,DET,K,17,0,
18,Stephen Hauschka,BUF,K,21,3,
19,Jason Myers,SEA,K,13,-6,
20,Eddy Pineiro,CHI,K,22,2,
21,Chris Boswell,PIT,K,24,3,
