FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Deshaun Watson,HOU,QB,1,0,
2,Drew Brees,NO,QB,4,2,
3,Patrick Mahomes,KC,QB,2,-1,
4,Baker Mayfield,CLE,QB,7,3,
5,Jameis Winston,NO,QB,3,-2,
6,Lamar Jackson,BAL,QB,8,2,
7,Carson Wentz,PHI,QB,5,-2,
8,Kirk Cousins,MIN,QB,13,5,
9,Aaron Rodgers,GB,QB,10,1,
10,Jared Goff,LAR,QB,12,2,
11,Dak Prescott,DAL,QB,11,0,
12,Kyler Murray,ARI,QB,14,2,
13,Mitch Trubisky,CHI,QB,20,7,
14,Cam Newton,NE,QB,9,-5,
15,Jimmy Garoppolo,SF,QB,19,4,
16,Matthew Stafford,DET,QB,22,6,
17,Ben Roethlisberger,PIT,QB,16,-1,
18,Tom Brady,TB,QB,15,-3,
19,Russell Wilson,SEA,QB,6,-13,
20,Philip Rivers,IND,QB,18,-2,
21,Matt Ryan,ATL,QB,17,-4,
22,Josh Allen,BUF,QB,21,-1,
23,Nick Foles,CHI,QB,23,0,
24,Marcus Mariota,LV,QB,28,4,
25,Jacoby Brissett,IND,QB,24,-1,
26,Andy Dalton,DAL,QB,29,3,
27,Derek Carr,LV,QB,26,-1,
28,Joe Flacco,NYJ,QB,27,-1,
29,Sam Darnold,NYJ,QB,25,-4,
30,Eli Manning,FA,QB,30,0,
31,Case Keenum,CLE,QB,32,1,
32,Ryan Fitzpatrick,MIA,QB,31,-1,
