FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Lamar Jackson,BAL,QB,1,0,
2,Deshaun Watson,HOU,QB,3,1,
3,Matt Ryan,ATL,QB,2,-1,
4,Russell Wilson,SEA,QB,4,0,
5,Jameis Winston,NO,QB,6,1,
6,Baker Mayfield,CLE,QB,7,1,
7,Drew Brees,NO,QB,5,-2,
8,Aaron Rodgers,GB,QB,8,0,
9,Dak Prescott,DAL,QB,10,1,
10,Jacoby Brissett,IND,QB,14,4,
11,Josh Allen,BUF,QB,9,-2,
12,Ryan Fitzpatrick,MIA,QB,20,8,
13,Derek Carr,LV,QB,12,-1,
14,Tom Brady,TB,QB,13,-1,
15,Jeff Driskel,DEN,QB,,,
16,Carson Wentz,PHI,QB,16,0,
17,Mitch Trubisky,CHI,QB,23,6,
18,Jimmy Garoppolo,SF,QB,11,-7,
19,Sam Darnold,NYJ,QB,15,-4,
20,Nick Foles,CHI,QB,17,-3,
21,Ryan Tannehill,TEN,QB,18,-3,
22,Dwayne Haskins,WAS,QB,25,3,
23,Jared Goff,LAR,QB,19,-4,
24,Kyle Allen,WAS,QB,24,0,
25,Mason Rudolph,PIT,QB,21,-4,
26,Daniel Jones,NYG,QB,22,-4,
27,Brandon Allen,CIN,QB,26,-1,
28,Ryan Finley,CIN,QB,27,-1,
