FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Justin Tucker,BAL,K,1,0,
2,Wil Lutz,NO,K,2,0,
3,Harrison Butker,KC,K,4,1,
4,Matt Gay,TB,K,9,5,
5,Dan Bailey,MIN,K,7,2,
6,Robbie Gould,SF,K,6,0,
7,Younghoe Koo,ATL,K,5,-2,
8,Jason Myers,SEA,K,3,-5,
9,Ka'imi Fairbairn,HOU,K,8,-1,
10,Michael Badgley,LAC,K,10,0,
11,Mason Crosby,GB,K,14,3,
12,Chris Boswell,PIT,K,17,5,
13,Nick Folk,FA,K,13,0,
14,Jake Elliott,PHI,K,12,-2,
15,Greg Zuerlein,DAL,K,22,7,
16,Brandon McManus,DEN,K,11,-5,
17,Josh Lambo,JAC,K,19,2,
18,Jason Sanders,MIA,K,18,0,
19,Zane Gonzalez,ARI,K,20,1,
20,Kai Forbath,FA,K,15,-5,
