FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,DeAndre Hopkins,ARI,WR,3,2,
2,Julio Jones,ATL,WR,1,-1,
3,Cooper Kupp,LAR,WR,2,-1,
4,Tyreek Hill,KC,WR,4,0,
5,T.Y. Hilton,IND,WR,6,1,
6,Michael Thomas,NO,WR,5,-1,
7,Amari Cooper,DAL,WR,20,13,
8,Keenan Allen,LAC,WR,7,-1,
9,Brandin Cooks,HOU,WR,13,4,
10,Robert Woods,LAR,WR,11,1,
11,Tyler Lockett,SEA,WR,8,-3,
12,Michael Gallup,DAL,WR,12,0,
13,Julian Edelman,NE,WR,10,-3,
14,D.J. Chark,JAC,WR,15,1,
15,Tyler Boyd,CIN,WR,19,4,
16,Will Fuller,HOU,WR,17,1,
17,Larry Fitzgerald,ARI,WR,18,1,
18,Terry McLaurin,WAS,WR,28,10,
19,Adam Thielen,MIN,WR,9,-10,
20,Courtland Sutton,DEN,WR,16,-4,
21,Kenny Golladay,DET,WR,14,-7,
22,Alshon Jeffery,PHI,WR,22,0,
23,John Brown,BUF,WR,21,-2,
24,Calvin Ridley,ATL,WR,23,-1,
25,Mike Williams,LAC,WR,26,1,
26,Allen Robinson,CHI,WR,25,-1,
27,Stefon Diggs,BUF,WR,24,-3,
28,Golden Tate,NYG,WR,29,1,
29,Emmanuel Sanders,NO,WR,32,3,
30,Dante Pettis,SF,WR,36,6,
31,D.K. Metcalf,SEA,WR,27,-4,
32,Dede Westbrook,JAC,WR,31,-1,
33,Auden Tate,CIN,WR,34,1,
34,Jamison Crowder,NYJ,WR,35,1,
35,Mecole Hardman,KC,WR,41,6,
36,Marvin Jones,DET,WR,30,-6,
37,Marquez Valdes-Scantling,GB,WR,38,1,
38,Robby Anderson,CAR,WR,33,-5,
39,Phillip Dorsett,SEA,WR,37,-2,
40,Cole Beasley,BUF,WR,46,6,
41,Demarcus Robinson,KC,WR,40,-1,
42,Mohamed Sanu,NE,WR,39,-3,
43,Darius Slayton,NYG,WR,42,-1,
44,Jakobi Meyers,NE,WR,47,3,
45,Keke Coutee,HOU,WR,61,16,
46,Corey Davis,TEN,WR,43,-3,
47,Geronimo Allison,DET,WR,60,13,
48,Anthony Miller,CHI,WR,59,11,
49,Preston Williams,MIA,WR,48,-1,
50,A.J. Brown,TEN,WR,45,-5,
51,Nelson Agholor,LV,WR,49,-2,
52,Trevor Davis,CHI,WR,73,21,
53,Allen Lazard,GB,WR,53,0,
54,Duke Williams,BUF,WR,52,-2,
55,Miles Boykin,BAL,WR,66,11,
56,Adam Humphries,TEN,WR,58,2,
57,Trey Quinn,WAS,WR,71,14,
58,Jaron Brown,FA,WR,63,5,
59,Marquise Goodwin,PHI,WR,44,-15,
60,Demaryius Thomas,FA,WR,55,-5,
61,Willie Snead,BAL,WR,56,-5,
62,Albert Wilson,MIA,WR,68,6,
63,Tavon Austin,FA,WR,77,14,
64,Ted Ginn,CHI,WR,54,-10,
65,Kenny Stills,HOU,WR,65,0,
66,DeVante Parker,MIA,WR,50,-16,
67,Damiere Byrd,NE,WR,67,0,
68,Taylor Gabriel,FA,WR,70,2,
69,KeeSean Johnson,ARI,WR,51,-18,
70,David Moore,SEA,WR,80,10,
71,Darrius Shepherd,GB,WR,111,40,
72,DaeSean Hamilton,DEN,WR,75,3,
73,Zach Pascal,IND,WR,81,8,
74,Deon Cain,PIT,WR,86,12,
75,Byron Pringle,KC,WR,62,-13,
76,Hunter Renfrow,LV,WR,69,-7,
77,Devin Smith,DAL,WR,,,
78,Cody Latimer,WAS,WR,82,4,
79,Paul Richardson Jr.,FA,WR,64,-15,
80,Trent Sherfield,ARI,WR,79,-1,
81,Chris Conley,JAC,WR,57,-24,
82,Jake Kumerow,GB,WR,72,-10,
83,Olabisi Johnson,MIN,WR,88,5,
84,Danny Amendola,DET,WR,74,-10,
85,Alex Erickson,CIN,WR,76,-9,
86,Chester Rogers,MIA,WR,95,9,
87,Seth Roberts,CAR,WR,84,-3,
88,Mack Hollins,MIA,WR,83,-5,
