FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Ezekiel Elliott,DAL,RB,1,0,
2,David Johnson,HOU,RB,4,2,
3,Dalvin Cook,MIN,RB,2,-1,
4,Christian McCaffrey,CAR,RB,3,-1,
5,Derrick Henry,TEN,RB,7,2,
6,Leonard Fournette,JAC,RB,9,3,
7,Nick Chubb,CLE,RB,6,-1,
8,Aaron Jones,GB,RB,12,4,
9,Alvin Kamara,NO,RB,5,-4,
10,Todd Gurley,ATL,RB,13,3,
11,Le'Veon Bell,NYJ,RB,14,3,
12,Chris Carson,SEA,RB,8,-4,
13,Mark Ingram II,BAL,RB,11,-2,
14,Joe Mixon,CIN,RB,10,-4,
15,Marlon Mack,IND,RB,18,3,
16,Devonta Freeman,FA,RB,24,8,
17,Austin Ekeler,LAC,RB,16,-1,
18,David Montgomery,CHI,RB,17,-1,
19,Melvin Gordon,DEN,RB,21,2,
20,Phillip Lindsay,DEN,RB,22,2,
21,James Conner,PIT,RB,15,-6,
22,Matt Breida,MIA,RB,31,9,
23,Damien Williams,KC,RB,30,7,
24,Sony Michel,NE,RB,19,-5,
25,LeSean McCoy,TB,RB,20,-5,
26,James White,NE,RB,29,3,
27,Wayne Gallman,NYG,RB,23,-4,
28,Carlos Hyde,SEA,RB,27,-1,
29,Josh Jacobs,LV,RB,26,-3,
30,Jordan Howard,MIA,RB,25,-5,
31,Royce Freeman,DEN,RB,28,-3,
32,Duke Johnson,HOU,RB,36,4,
33,Frank Gore,NYJ,RB,33,0,
34,Chris Thompson,JAC,RB,40,6,
35,Miles Sanders,PHI,RB,32,-3,
36,Tarik Cohen,CHI,RB,37,1,
37,Rashaad Penny,SEA,RB,41,4,
38,Jaylen Samuels,PIT,RB,35,-3,
39,Ronald Jones II,TB,RB,34,-5,
40,Peyton Barber,WAS,RB,39,-1,
41,Darrel Williams,KC,RB,48,7,
42,Raheem Mostert,SF,RB,43,1,
43,Malcolm Brown,LAR,RB,49,6,
44,Nyheim Hines,IND,RB,50,6,
45,Gus Edwards,BAL,RB,42,-3,
46,Adrian Peterson,WAS,RB,38,-8,
47,Alexander Mattison,MIN,RB,47,0,
48,Jeff Wilson,SF,RB,,,
49,Jonathan Hilliman,FA,RB,61,12,
50,Jordan Wilkins,IND,RB,51,1,
51,Tony Pollard,DAL,RB,53,2,
52,Ito Smith,ATL,RB,44,-8,
53,Dion Lewis,NYG,RB,54,1,
54,Latavius Murray,NO,RB,52,-2,
55,Chase Edmonds,ARI,RB,55,0,
56,Giovani Bernard,CIN,RB,46,-10,
57,Ty Montgomery,NO,RB,66,9,
58,Dare Ogunbowale,TB,RB,56,-2,
59,DeAndre Washington,KC,RB,62,3,
60,Ryquell Armstead,JAC,RB,65,5,
61,Justice Hill,BAL,RB,60,-1,
62,Jalen Richard,LV,RB,57,-5,
63,Dontrell Hilliard,CLE,RB,68,5,
