FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Zach Ertz,PHI,TE,3,2,
2,George Kittle,SF,TE,2,0,
3,Travis Kelce,KC,TE,1,-2,
4,Hunter Henry,LAC,TE,5,1,
5,O.J. Howard,TB,TE,4,-1,
6,Evan Engram,NYG,TE,6,0,
7,Jared Cook,NO,TE,7,0,
8,Delanie Walker,FA,TE,10,2,
9,David Njoku,CLE,TE,9,0,
10,Vance McDonald,PIT,TE,8,-2,
11,Mark Andrews,BAL,TE,11,0,
12,Austin Hooper,CLE,TE,12,0,
13,Greg Olsen,SEA,TE,13,0,
14,Darren Waller,LV,TE,15,1,
15,Eric Ebron,PIT,TE,14,-1,
16,Will Dissly,SEA,TE,24,8,
17,Jimmy Graham,CHI,TE,17,0,
18,T.J. Hockenson,DET,TE,19,1,
19,Kyle Rudolph,MIN,TE,16,-3,
20,Tyler Eifert,JAC,TE,20,0,
21,Geoff Swaim,FA,TE,29,8,
22,Gerald Everett,LAR,TE,23,1,
23,Vernon Davis,FA,TE,34,11,
24,Jack Doyle,IND,TE,18,-6,
25,Dallas Goedert,PHI,TE,22,-3,
26,Jason Witten,LV,TE,25,-1,
27,Mike Gesicki,MIA,TE,26,-1,
28,Matt LaCosse,NE,TE,42,14,
29,Hayden Hurst,ATL,TE,28,-1,
30,Adam Shaheen,MIA,TE,35,5,
31,Ben Braunecker,FA,TE,71,40,
32,Noah Fant,DEN,TE,21,-11,
33,Cameron Brate,TB,TE,27,-6,
34,Ian Thomas,CAR,TE,31,-3,
35,Nick Vannett,DEN,TE,32,-3,
36,Charles Clay,FA,TE,33,-3,
37,Ryan Griffin,NYJ,TE,40,3,
