FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Russell Wilson,SEA,QB,2,1,
2,Deshaun Watson,HOU,QB,1,-1,
3,Matthew Stafford,DET,QB,4,1,
4,Aaron Rodgers,GB,QB,3,-1,
5,Jared Goff,LAR,QB,5,0,
6,Kyler Murray,ARI,QB,7,1,
7,Tom Brady,TB,QB,6,-1,
8,Drew Brees,NO,QB,9,1,
9,Kirk Cousins,MIN,QB,8,-1,
10,Ryan Tannehill,TEN,QB,14,4,
11,Jameis Winston,NO,QB,12,1,
12,Josh Allen,BUF,QB,10,-2,
13,Daniel Jones,NYG,QB,17,4,
14,Derek Carr,LV,QB,16,2,
15,Mason Rudolph,PIT,QB,15,0,
16,Gardner Minshew II,JAC,QB,11,-5,
17,Philip Rivers,IND,QB,20,3,
18,Andy Dalton,DAL,QB,23,5,
19,Matt Schaub,ATL,QB,25,6,
20,Jacoby Brissett,IND,QB,13,-7,
21,Carson Wentz,PHI,QB,18,-3,
22,Mitch Trubisky,CHI,QB,24,2,
23,Matt Moore,KC,QB,22,-1,
24,Sam Darnold,NYJ,QB,21,-3,
25,Baker Mayfield,CLE,QB,26,1,
26,Case Keenum,CLE,QB,29,3,
27,Joe Flacco,NYJ,QB,,,
28,Jimmy Garoppolo,SF,QB,19,-9,
29,Ryan Fitzpatrick,MIA,QB,27,-2,
30,Kyle Allen,WAS,QB,28,-2,
31,Teddy Bridgewater,CAR,QB,31,0,
