FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Justin Tucker,BAL,K,1,0,
2,Wil Lutz,NO,K,2,0,
3,Harrison Butker,KC,K,5,2,
4,Greg Zuerlein,DAL,K,4,0,
5,Robbie Gould,SF,K,3,-2,
6,Matt Gay,TB,K,6,0,
7,Jason Myers,SEA,K,8,1,
8,Austin Seibert,CLE,K,7,-1,
9,Ryan Succop,FA,K,,,
10,Jake Elliott,PHI,K,11,1,
11,Mason Crosby,GB,K,10,-1,
12,Dan Bailey,MIN,K,9,-3,
13,Michael Badgley,LAC,K,14,1,
14,Nick Folk,FA,K,12,-2,
15,Zane Gonzalez,ARI,K,13,-2,
16,Ka'imi Fairbairn,HOU,K,15,-1,
17,Younghoe Koo,ATL,K,20,3,
18,Joey Slye,CAR,K,16,-2,
19,Jason Sanders,MIA,K,18,-1,
20,Matt Prater,DET,K,21,1,
