FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Zach Ertz,PHI,TE,1,0,
2,Mark Andrews,BAL,TE,3,1,
3,Darren Waller,LV,TE,2,-1,
4,George Kittle,SF,TE,7,3,
5,Jared Cook,NO,TE,4,-1,
6,Eric Ebron,PIT,TE,,,
7,Dallas Goedert,PHI,TE,6,-1,
8,Ryan Griffin,NYJ,TE,8,0,
9,Greg Olsen,SEA,TE,5,-4,
10,Vance McDonald,PIT,TE,10,0,
11,Cameron Brate,TB,TE,12,1,
12,Mike Gesicki,MIA,TE,16,4,
13,Gerald Everett,LAR,TE,11,-2,
14,Noah Fant,DEN,TE,13,-1,
15,Jacob Hollister,SEA,TE,9,-6,
16,T.J. Hockenson,DET,TE,17,1,
17,Jaeden Graham,ATL,TE,34,17,
18,Darren Fells,HOU,TE,14,-4,
19,Jason Witten,LV,TE,19,0,
20,Benjamin Watson,FA,TE,22,2,
21,Jack Doyle,IND,TE,15,-6,
22,Jonnu Smith,TEN,TE,23,1,
23,Tyler Eifert,JAC,TE,20,-3,
24,Jimmy Graham,CHI,TE,18,-6,
25,O.J. Howard,TB,TE,24,-1,
26,Dawson Knox,BUF,TE,21,-5,
27,Demetrius Harris,CHI,TE,30,3,
28,Blake Jarwin,DAL,TE,33,5,
29,Jeremy Sprinkle,WAS,TE,26,-3,
30,Hayden Hurst,ATL,TE,32,2,
31,C.J. Uzomah,CIN,TE,41,10,
32,Ben Braunecker,FA,TE,29,-3,
33,Ross Dwelley,SF,TE,27,-6,
34,Nick Boyle,BAL,TE,28,-6,
35,Ben Koyack,FA,TE,39,4,
36,Foster Moreau,LV,TE,31,-5,
37,Jordan Akins,HOU,TE,25,-12,
