FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,DeAndre Hopkins,ARI,WR,1,0,
2,Julio Jones,ATL,WR,10,8,
3,Cooper Kupp,LAR,WR,5,2,
4,Chris Godwin,TB,WR,2,-2,
5,Stefon Diggs,BUF,WR,8,3,
6,Michael Thomas,NO,WR,4,-2,
7,Tyler Lockett,SEA,WR,3,-4,
8,Kenny Golladay,DET,WR,6,-2,
9,Tyreek Hill,KC,WR,7,-2,
10,Mike Evans,TB,WR,9,-1,
11,Courtland Sutton,DEN,WR,13,2,
12,Allen Robinson,CHI,WR,14,2,
13,Odell Beckham Jr.,CLE,WR,18,5,
14,JuJu Smith-Schuster,PIT,WR,16,2,
15,Terry McLaurin,WAS,WR,24,9,
16,Brandin Cooks,HOU,WR,23,7,
17,Julian Edelman,NE,WR,11,-6,
18,Robert Woods,LAR,WR,20,2,
19,D.J. Chark,JAC,WR,15,-4,
20,Marvin Jones,DET,WR,17,-3,
21,T.Y. Hilton,IND,WR,12,-9,
22,Larry Fitzgerald,ARI,WR,27,5,
23,Keenan Allen,LAC,WR,36,13,
24,Kenny Stills,HOU,WR,21,-3,
25,D.K. Metcalf,SEA,WR,22,-3,
26,John Brown,BUF,WR,19,-7,
27,Tyler Boyd,CIN,WR,29,2,
28,Corey Davis,TEN,WR,32,4,
29,Calvin Ridley,ATL,WR,28,-1,
30,D.J. Moore,CAR,WR,33,3,
31,Golden Tate,NYG,WR,26,-5,
32,Mike Williams,LAC,WR,25,-7,
33,Christian Kirk,ARI,WR,51,18,
34,Tyrell Williams,LV,WR,38,4,
35,Robby Anderson,CAR,WR,31,-4,
36,Alshon Jeffery,PHI,WR,30,-6,
37,Jarvis Landry,CLE,WR,40,3,
38,A.J. Brown,TEN,WR,39,1,
39,Curtis Samuel,CAR,WR,37,-2,
40,DeVante Parker,MIA,WR,45,5,
41,Emmanuel Sanders,NO,WR,43,2,
42,Ted Ginn,CHI,WR,53,11,
43,Dede Westbrook,JAC,WR,34,-9,
44,Marquez Valdes-Scantling,GB,WR,35,-9,
45,Geronimo Allison,DET,WR,50,5,
46,Mecole Hardman,KC,WR,60,14,
47,Sammy Watkins,KC,WR,52,5,
48,Auden Tate,CIN,WR,46,-2,
49,Jamison Crowder,NYJ,WR,41,-8,
50,Keke Coutee,HOU,WR,49,-1,
51,Cole Beasley,BUF,WR,54,3,
52,Phillip Dorsett,SEA,WR,42,-10,
53,Diontae Johnson,PIT,WR,47,-6,
54,Trevor Davis,CHI,WR,85,31,
55,Preston Williams,MIA,WR,44,-11,
56,Olabisi Johnson,MIN,WR,48,-8,
57,Mohamed Sanu,NE,WR,59,2,
58,Allen Lazard,GB,WR,64,6,
59,Dante Pettis,SF,WR,65,6,
60,Demaryius Thomas,FA,WR,55,-5,
61,Duke Williams,BUF,WR,71,10,
62,Anthony Miller,CHI,WR,61,-1,
63,Damiere Byrd,NE,WR,75,12,
64,Keelan Doss,LV,WR,86,22,
65,Alex Erickson,CIN,WR,57,-8,
66,Jaron Brown,FA,WR,66,0,
67,Jakobi Meyers,NE,WR,69,2,
68,Adam Humphries,TEN,WR,68,0,
69,Nelson Agholor,LV,WR,70,1,
70,Trey Quinn,WAS,WR,76,6,
71,Demarcus Robinson,KC,WR,72,1,
72,DaeSean Hamilton,DEN,WR,58,-14,
73,Danny Amendola,DET,WR,62,-11,
74,Allen Hurns,MIA,WR,101,27,
75,Chris Conley,JAC,WR,67,-8,
76,Zach Pascal,IND,WR,63,-13,
77,James Washington,PIT,WR,78,1,
78,Albert Wilson,MIA,WR,74,-4,
79,Marquise Goodwin,PHI,WR,,,
80,Paul Richardson Jr.,FA,WR,80,0,
81,Darius Slayton,NYG,WR,56,-25,
82,Jarius Wright,FA,WR,99,17,
83,Jake Kumerow,GB,WR,81,-2,
84,Cody Latimer,WAS,WR,88,4,
85,Taylor Gabriel,FA,WR,73,-12,
