FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Mason Crosby,GB,K,1,0,
2,Dan Bailey,MIN,K,7,5,
3,Matt Gay,TB,K,5,2,
4,Justin Tucker,BAL,K,2,-2,
5,Jake Elliott,PHI,K,3,-2,
6,Ka'imi Fairbairn,HOU,K,9,3,
7,Greg Zuerlein,DAL,K,6,-1,
8,Younghoe Koo,ATL,K,8,0,
9,Wil Lutz,NO,K,4,-5,
10,Austin Seibert,CLE,K,11,1,
11,Jason Myers,SEA,K,12,1,
12,Harrison Butker,KC,K,10,-2,
13,Ryan Succop,FA,K,18,5,
14,Sam Ficken,NYJ,K,21,7,
15,Brett Maher,NYJ,K,15,0,
16,Joey Slye,CAR,K,17,1,
17,Chris Boswell,PIT,K,14,-3,
18,Michael Badgley,LAC,K,13,-5,
19,Daniel Carlson,LV,K,22,3,
20,Robbie Gould,SF,K,16,-4,
