FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Patrick Mahomes,KC,QB,1,0,
2,Lamar Jackson,BAL,QB,2,0,
3,Aaron Rodgers,GB,QB,5,2,
4,Drew Brees,NO,QB,4,0,
5,Josh Allen,BUF,QB,9,4,
6,Russell Wilson,SEA,QB,3,-3,
7,Jared Goff,LAR,QB,17,10,
8,Kyler Murray,ARI,QB,6,-2,
9,Matt Ryan,ATL,QB,13,4,
10,Carson Wentz,PHI,QB,12,2,
11,Tom Brady,TB,QB,15,4,
12,Ryan Tannehill,TEN,QB,18,6,
13,Jameis Winston,NO,QB,7,-6,
14,Deshaun Watson,HOU,QB,11,-3,
15,Nick Foles,CHI,QB,14,-1,
16,Dak Prescott,DAL,QB,8,-8,
17,Sam Darnold,NYJ,QB,10,-7,
18,Kirk Cousins,MIN,QB,16,-2,
19,Andy Dalton,DAL,QB,25,6,
20,Mitch Trubisky,CHI,QB,26,6,
21,Daniel Jones,NYG,QB,22,1,
22,Baker Mayfield,CLE,QB,20,-2,
23,Jacoby Brissett,IND,QB,19,-4,
24,Kyle Allen,WAS,QB,21,-3,
25,Derek Carr,LV,QB,24,-1,
26,Ryan Fitzpatrick,MIA,QB,27,1,
27,Philip Rivers,IND,QB,28,1,
28,Jimmy Garoppolo,SF,QB,23,-5,
29,Dwayne Haskins,WAS,QB,30,1,
30,Devlin Hodges,PIT,QB,29,-1,
31,David Blough,DET,QB,32,1,
32,Drew Lock,DEN,QB,31,-1,
