FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Minnesota Vikings,MIN,DST,1,0,
2,Buffalo Bills,BUF,DST,2,0,
3,Pittsburgh Steelers,PIT,DST,5,2,
4,San Francisco 49ers,SF,DST,4,0,
5,Cleveland Browns,CLE,DST,14,9,
6,Los Angeles Rams,LAR,DST,3,-3,
7,Chicago Bears,CHI,DST,11,4,
8,Washington Football Team,WAS,DST,13,5,
9,New England Patriots,NE,DST,7,-2,
10,Dallas Cowboys,DAL,DST,9,-1,
11,Las Vegas Raiders,LV,DST,8,-3,
12,New York Jets,NYJ,DST,10,-2,
13,New Orleans Saints,NO,DST,6,-7,
14,Baltimore Ravens,BAL,DST,15,1,
15,Jacksonville Jaguars,JAC,DST,17,2,
16,Denver Broncos,DEN,DST,19,3,
17,Indianapolis Colts,IND,DST,16,-1,
18,Carolina Panthers,CAR,DST,12,-6,
19,Kansas City Chiefs,KC,DST,18,-1,
20,Miami Dolphins,MIA,DST,20,0,
21,Atlanta Falcons,ATL,DST,21,0,
22,Arizona Cardinals,ARI,DST,24,2,
23,Philadelphia Eagles,PHI,DST,23,0,
24,Detroit Lions,DET,DST,25,1,
25,Houston Texans,HOU,DST,27,2,
26,Los Angeles Chargers,LAC,DST,26,0,
27,Cincinnati Bengals,CIN,DST,28,1,
28,Tampa Bay Buccaneers,TB,DST,22,-6,
