FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Lamar Jackson,BAL,QB,1,0,
2,Aaron Rodgers,GB,QB,2,0,
3,Patrick Mahomes,KC,QB,5,2,
4,Jameis Winston,NO,QB,7,3,
5,Russell Wilson,SEA,QB,4,-1,
6,Deshaun Watson,HOU,QB,3,-3,
7,Kirk Cousins,MIN,QB,8,1,
8,Carson Wentz,PHI,QB,6,-2,
9,Dak Prescott,DAL,QB,9,0,
10,Ryan Tannehill,TEN,QB,12,2,
11,Matt Ryan,ATL,QB,10,-1,
12,Baker Mayfield,CLE,QB,16,4,
13,Josh Allen,BUF,QB,14,1,
14,Ryan Fitzpatrick,MIA,QB,18,4,
15,Sam Darnold,NYJ,QB,11,-4,
16,Jacoby Brissett,IND,QB,20,4,
17,Jared Goff,LAR,QB,17,0,
18,Kyler Murray,ARI,QB,13,-5,
19,Drew Brees,NO,QB,19,0,
20,Jimmy Garoppolo,SF,QB,22,2,
21,Tom Brady,TB,QB,15,-6,
22,Andy Dalton,DAL,QB,28,6,
23,Kyle Allen,WAS,QB,21,-2,
24,Eli Manning,FA,QB,29,5,
25,Philip Rivers,IND,QB,23,-2,
26,Derek Carr,LV,QB,24,-2,
27,Gardner Minshew II,JAC,QB,25,-2,
28,Mitch Trubisky,CHI,QB,26,-2,
29,Drew Lock,DEN,QB,30,1,
30,Dwayne Haskins,WAS,QB,32,2,
31,Devlin Hodges,PIT,QB,27,-4,
32,David Blough,DET,QB,31,-1,
