FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Christian McCaffrey,CAR,RB,1,0,
2,Dalvin Cook,MIN,RB,2,0,
3,Alvin Kamara,NO,RB,9,6,
4,Aaron Jones,GB,RB,5,1,
5,Chris Carson,SEA,RB,12,7,
6,Marlon Mack,IND,RB,6,0,
7,Ezekiel Elliott,DAL,RB,4,-3,
8,Saquon Barkley,NYG,RB,3,-5,
9,Josh Jacobs,LV,RB,10,1,
10,David Montgomery,CHI,RB,13,3,
11,Nick Chubb,CLE,RB,7,-4,
12,Derrick Henry,TEN,RB,8,-4,
13,Mark Ingram II,BAL,RB,11,-2,
14,Melvin Gordon,DEN,RB,14,0,
15,Todd Gurley,ATL,RB,17,2,
16,Le'Veon Bell,NYJ,RB,15,-1,
17,Tevin Coleman,SF,RB,16,-1,
18,David Johnson,HOU,RB,21,3,
19,Devonta Freeman,FA,RB,24,5,
20,Damien Williams,KC,RB,20,0,
21,Devin Singletary,BUF,RB,18,-3,
22,Ronald Jones II,TB,RB,23,1,
23,Matt Breida,MIA,RB,27,4,
24,Austin Ekeler,LAC,RB,22,-2,
25,Jaylen Samuels,PIT,RB,19,-6,
26,Latavius Murray,NO,RB,25,-1,
27,Ty Johnson,DET,RB,32,5,
28,Kareem Hunt,CLE,RB,34,6,
29,Jamaal Williams,GB,RB,28,-1,
30,Joe Mixon,CIN,RB,26,-4,
31,LeSean McCoy,TB,RB,,,
32,Kalen Ballage,MIA,RB,30,-2,
33,Frank Gore,NYJ,RB,31,-2,
34,Tarik Cohen,CHI,RB,33,-1,
35,Kenyan Drake,ARI,RB,29,-6,
36,Gus Edwards,BAL,RB,35,-1,
37,J.D. McKissic,WAS,RB,37,0,
38,Peyton Barber,WAS,RB,39,1,
39,Darrell Henderson,LAR,RB,38,-1,
40,Alexander Mattison,MIN,RB,40,0,
41,Rashaad Penny,SEA,RB,42,1,
42,Nyheim Hines,IND,RB,41,-1,
43,Jordan Wilkins,IND,RB,49,6,
44,Tony Pollard,DAL,RB,52,8,
45,Justice Hill,BAL,RB,53,8,
46,Malcolm Brown,LAR,RB,59,13,
47,Raheem Mostert,SF,RB,51,4,
48,DeAndre Washington,KC,RB,43,-5,
49,Giovani Bernard,CIN,RB,46,-3,
50,Bilal Powell,FA,RB,56,6,
51,Dion Lewis,NYG,RB,44,-7,
52,Brian Hill,ATL,RB,47,-5,
53,Paul Perkins,FA,RB,57,4,
54,Dare Ogunbowale,TB,RB,48,-6,
55,Reggie Bonnafon,CAR,RB,62,7,
