FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Philadelphia Eagles,PHI,DST,3,2,
2,Chicago Bears,CHI,DST,2,0,
3,Carolina Panthers,CAR,DST,1,-2,
4,Baltimore Ravens,BAL,DST,8,4,
5,Pittsburgh Steelers,PIT,DST,7,2,
6,New England Patriots,NE,DST,4,-2,
7,New Orleans Saints,NO,DST,9,2,
8,Green Bay Packers,GB,DST,6,-2,
9,Los Angeles Chargers,LAC,DST,10,1,
10,New York Jets,NYJ,DST,5,-5,
11,Jacksonville Jaguars,JAC,DST,11,0,
12,San Francisco 49ers,SF,DST,19,7,
13,Dallas Cowboys,DAL,DST,13,0,
14,Buffalo Bills,BUF,DST,20,6,
15,Detroit Lions,DET,DST,16,1,
16,Cleveland Browns,CLE,DST,12,-4,
17,Denver Broncos,DEN,DST,15,-2,
18,Kansas City Chiefs,KC,DST,17,-1,
19,Indianapolis Colts,IND,DST,18,-1,
20,Los Angeles Rams,LAR,DST,14,-6,
21,Seattle Seahawks,SEA,DST,23,2,
22,Washington Football Team,WAS,DST,22,0,
23,Tennessee Titans,TEN,DST,21,-2,
24,Cincinnati Bengals,CIN,DST,27,3,
25,Tampa Bay Buccaneers,TB,DST,26,1,
26,Minnesota Vikings,MIN,DST,25,-1,
27,Atlanta Falcons,ATL,DST,31,4,
28,Houston Texans,HOU,DST,28,0,
29,Arizona Cardinals,ARI,DST,24,-5,
30,Las Vegas Raiders,LV,DST,32,2,
31,Miami Dolphins,MIA,DST,30,-1,
32,New York Giants,NYG,DST,29,-3,
