FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Lamar Jackson,BAL,QB,1,0,
2,Russell Wilson,SEA,QB,4,2,
3,Deshaun Watson,HOU,QB,2,-1,
4,Drew Brees,NO,QB,3,-1,
5,Ryan Tannehill,TEN,QB,6,1,
6,Baker Mayfield,CLE,QB,11,5,
7,Patrick Mahomes,KC,QB,5,-2,
8,Kyler Murray,ARI,QB,10,2,
9,Jameis Winston,NO,QB,7,-2,
10,Aaron Rodgers,GB,QB,12,2,
11,Jimmy Garoppolo,SF,QB,8,-3,
12,Dak Prescott,DAL,QB,9,-3,
13,Tom Brady,TB,QB,14,1,
14,Carson Wentz,PHI,QB,15,1,
15,Matt Ryan,ATL,QB,21,6,
16,Ryan Fitzpatrick,MIA,QB,13,-3,
17,Gardner Minshew II,JAC,QB,18,1,
18,Josh Allen,BUF,QB,19,1,
19,Eli Manning,FA,QB,20,1,
20,Mitch Trubisky,CHI,QB,22,2,
21,Kyle Allen,WAS,QB,26,5,
22,Kirk Cousins,MIN,QB,17,-5,
23,Jared Goff,LAR,QB,16,-7,
24,Jacoby Brissett,IND,QB,25,1,
25,Derek Carr,LV,QB,23,-2,
26,Philip Rivers,IND,QB,24,-2,
27,Drew Lock,DEN,QB,28,1,
28,Sam Darnold,NYJ,QB,29,1,
29,David Blough,DET,QB,27,-2,
30,Andy Dalton,DAL,QB,30,0,
31,Dwayne Haskins,WAS,QB,32,1,
32,Devlin Hodges,PIT,QB,31,-1,
