FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Green Bay Packers,GB,DST,1,0,
2,Minnesota Vikings,MIN,DST,2,0,
3,Dallas Cowboys,DAL,DST,7,4,
4,Philadelphia Eagles,PHI,DST,5,1,
5,Pittsburgh Steelers,PIT,DST,4,-1,
6,Baltimore Ravens,BAL,DST,3,-3,
7,Houston Texans,HOU,DST,6,-1,
8,Cleveland Browns,CLE,DST,8,0,
9,Indianapolis Colts,IND,DST,12,3,
10,New York Jets,NYJ,DST,9,-1,
11,Los Angeles Chargers,LAC,DST,15,4,
12,Chicago Bears,CHI,DST,13,1,
13,New Orleans Saints,NO,DST,10,-3,
14,New England Patriots,NE,DST,11,-3,
15,Atlanta Falcons,ATL,DST,20,5,
16,Denver Broncos,DEN,DST,27,11,
17,San Francisco 49ers,SF,DST,16,-1,
18,Jacksonville Jaguars,JAC,DST,19,1,
19,Seattle Seahawks,SEA,DST,21,2,
20,Carolina Panthers,CAR,DST,18,-2,
21,Buffalo Bills,BUF,DST,24,3,
22,Los Angeles Rams,LAR,DST,22,0,
23,Tennessee Titans,TEN,DST,14,-9,
24,Las Vegas Raiders,LV,DST,28,4,
25,Kansas City Chiefs,KC,DST,25,0,
26,Tampa Bay Buccaneers,TB,DST,17,-9,
27,Miami Dolphins,MIA,DST,29,2,
28,Arizona Cardinals,ARI,DST,23,-5,
29,Cincinnati Bengals,CIN,DST,26,-3,
30,New York Giants,NYG,DST,30,0,
31,Washington Football Team,WAS,DST,32,1,
32,Detroit Lions,DET,DST,31,-1,
