FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Ezekiel Elliott,DAL,RB,1,0,
2,Christian McCaffrey,CAR,RB,2,0,
3,Nick Chubb,CLE,RB,4,1,
4,Le'Veon Bell,NYJ,RB,9,5,
5,Chris Carson,SEA,RB,6,1,
6,Dalvin Cook,MIN,RB,3,-3,
7,Leonard Fournette,JAC,RB,5,-2,
8,Aaron Jones,GB,RB,8,0,
9,Kerryon Johnson,DET,RB,15,6,
10,Mark Ingram II,BAL,RB,10,0,
11,Alvin Kamara,NO,RB,7,-4,
12,Sony Michel,NE,RB,13,1,
13,Derrick Henry,TEN,RB,12,-1,
14,David Johnson,HOU,RB,11,-3,
15,Malcolm Brown,LAR,RB,22,7,
16,Melvin Gordon,DEN,RB,16,0,
17,Devonta Freeman,FA,RB,20,3,
18,James Conner,PIT,RB,14,-4,
19,Damien Williams,KC,RB,21,2,
20,Joe Mixon,CIN,RB,17,-3,
21,Adrian Peterson,WAS,RB,23,2,
22,Phillip Lindsay,DEN,RB,18,-4,
23,Matt Breida,MIA,RB,24,1,
24,Austin Ekeler,LAC,RB,19,-5,
25,Carlos Hyde,SEA,RB,25,0,
26,James White,NE,RB,29,3,
27,Royce Freeman,DEN,RB,28,1,
28,Tevin Coleman,SF,RB,30,2,
29,Ronald Jones II,TB,RB,32,3,
30,Jordan Howard,MIA,RB,26,-4,
31,Kenyan Drake,ARI,RB,27,-4,
32,Miles Sanders,PHI,RB,33,1,
33,Gus Edwards,BAL,RB,38,5,
34,Ito Smith,ATL,RB,40,6,
35,Latavius Murray,NO,RB,41,6,
36,Chase Edmonds,ARI,RB,39,3,
37,Peyton Barber,WAS,RB,37,0,
38,Chris Thompson,JAC,RB,34,-4,
39,Jonathan Hilliman,FA,RB,36,-3,
40,LeSean McCoy,TB,RB,31,-9,
41,Darrell Henderson,LAR,RB,43,2,
42,Duke Johnson,HOU,RB,35,-7,
43,Justice Hill,BAL,RB,53,10,
44,Jamaal Williams,GB,RB,44,0,
45,Raheem Mostert,SF,RB,42,-3,
46,Mark Walton,FA,RB,45,-1,
47,Alexander Mattison,MIN,RB,47,0,
48,Dion Lewis,NYG,RB,49,1,
49,Benny Snell Jr.,PIT,RB,52,3,
50,J.D. McKissic,WAS,RB,62,12,
51,Darrel Williams,KC,RB,51,0,
52,Kalen Ballage,MIA,RB,58,6,
53,Giovani Bernard,CIN,RB,46,-7,
54,Ryquell Armstead,JAC,RB,61,7,
55,Ty Johnson,DET,RB,54,-1,
56,Ty Montgomery,NO,RB,59,3,
57,Dare Ogunbowale,TB,RB,50,-7,
58,Elijhaa Penny,NYG,RB,55,-3,
