FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Wil Lutz,NO,K,1,0,
2,Harrison Butker,KC,K,2,0,
3,Nick Folk,FA,K,4,1,
4,Robbie Gould,SF,K,3,-1,
5,Matt Gay,TB,K,5,0,
6,Younghoe Koo,ATL,K,7,1,
7,Mason Crosby,GB,K,6,-1,
8,Dan Bailey,MIN,K,11,3,
9,Justin Tucker,BAL,K,10,1,
10,Kai Forbath,FA,K,12,2,
11,Jake Elliott,PHI,K,9,-2,
12,Greg Zuerlein,DAL,K,8,-4,
13,Jason Myers,SEA,K,13,0,
14,Brandon McManus,DEN,K,15,1,
15,Ka'imi Fairbairn,HOU,K,14,-1,
16,Greg Joseph,TEN,K,19,3,
17,Austin Seibert,CLE,K,20,3,
18,Chase McLaughlin,IND,K,17,-1,
19,Chris Boswell,PIT,K,16,-3,
20,Josh Lambo,JAC,K,18,-2,
