FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Odell Beckham Jr.,CLE,WR,4,3,
2,Julio Jones,ATL,WR,1,-1,
3,Adam Thielen,MIN,WR,11,8,
4,DeAndre Hopkins,ARI,WR,2,-2,
5,JuJu Smith-Schuster,PIT,WR,5,0,
6,Michael Thomas,NO,WR,3,-3,
7,Davante Adams,GB,WR,6,-1,
8,Amari Cooper,DAL,WR,9,1,
9,Sammy Watkins,KC,WR,8,-1,
10,Keenan Allen,LAC,WR,7,-3,
11,Julian Edelman,NE,WR,14,3,
12,Mike Evans,TB,WR,10,-2,
13,Chris Godwin,TB,WR,16,3,
14,Tyler Boyd,CIN,WR,20,6,
15,Brandin Cooks,HOU,WR,13,-2,
16,Cooper Kupp,LAR,WR,15,-1,
17,Stefon Diggs,BUF,WR,21,4,
18,Allen Robinson,CHI,WR,24,6,
19,Tyler Lockett,SEA,WR,19,0,
20,Robert Woods,LAR,WR,12,-8,
21,D.J. Moore,CAR,WR,18,-3,
22,Alshon Jeffery,PHI,WR,25,3,
23,Calvin Ridley,ATL,WR,26,3,
24,Josh Gordon,FA,WR,27,3,
25,Kenny Golladay,DET,WR,23,-2,
26,Jarvis Landry,CLE,WR,34,8,
27,T.Y. Hilton,IND,WR,17,-10,
28,Tyrell Williams,LV,WR,22,-6,
29,DeSean Jackson,PHI,WR,29,0,
30,Curtis Samuel,CAR,WR,33,3,
31,Will Fuller,HOU,WR,35,4,
32,Dede Westbrook,JAC,WR,37,5,
33,Marvin Jones,DET,WR,41,8,
34,Michael Gallup,DAL,WR,31,-3,
35,John Brown,BUF,WR,28,-7,
36,Antonio Brown,FA,WR,30,-6,
37,Corey Davis,TEN,WR,48,11,
38,Emmanuel Sanders,NO,WR,44,6,
39,Larry Fitzgerald,ARI,WR,32,-7,
40,Jamison Crowder,NYJ,WR,36,-4,
41,Mike Williams,LAC,WR,54,13,
42,John Ross,CIN,WR,38,-4,
43,Christian Kirk,ARI,WR,39,-4,
44,Mecole Hardman,KC,WR,49,5,
45,D.K. Metcalf,SEA,WR,43,-2,
46,Robby Anderson,CAR,WR,40,-6,
47,Mohamed Sanu,NE,WR,51,4,
48,Marquez Valdes-Scantling,GB,WR,45,-3,
49,Trey Quinn,WAS,WR,62,13,
50,Anthony Miller,CHI,WR,69,19,
51,Donte Moncrief,FA,WR,50,-1,
52,Courtland Sutton,DEN,WR,42,-10,
53,Randall Cobb,HOU,WR,57,4,
54,Marquise Brown,BAL,WR,46,-8,
55,Geronimo Allison,DET,WR,61,6,
56,Ted Ginn,CHI,WR,58,2,
57,Travis Benjamin,SF,WR,86,29,
58,Adam Humphries,TEN,WR,76,18,
59,Terry McLaurin,WAS,WR,47,-12,
60,DeVante Parker,MIA,WR,52,-8,
61,A.J. Brown,TEN,WR,53,-8,
62,Chris Conley,JAC,WR,66,4,
63,D.J. Chark,JAC,WR,60,-3,
64,Paul Richardson Jr.,FA,WR,72,8,
65,James Washington,PIT,WR,55,-10,
66,Willie Snead,BAL,WR,73,7,
67,Tre'Quan Smith,NO,WR,68,1,
68,Keke Coutee,HOU,WR,78,10,
69,Kenny Stills,HOU,WR,65,-4,
70,Deebo Samuel,SF,WR,64,-6,
71,Marquise Goodwin,PHI,WR,59,-12,
72,Nelson Agholor,LV,WR,84,12,
73,DaeSean Hamilton,DEN,WR,71,-2,
74,Dante Pettis,SF,WR,67,-7,
75,Taylor Gabriel,FA,WR,74,-1,
76,Zay Jones,LV,WR,77,1,
77,Danny Amendola,DET,WR,56,-21,
78,Cole Beasley,BUF,WR,63,-15,
79,Cody Latimer,WAS,WR,79,0,
80,Rashard Higgins,CLE,WR,,,
81,Demarcus Robinson,KC,WR,81,0,
82,Allen Hurns,MIA,WR,109,27,
83,KeeSean Johnson,ARI,WR,75,-8,
84,Miles Boykin,BAL,WR,85,1,
85,Jaron Brown,FA,WR,94,9,
86,Preston Williams,MIA,WR,70,-16,
87,Parris Campbell,IND,WR,82,-5,
88,Ryan Grant,FA,WR,89,1,
89,Cordarrelle Patterson,CHI,WR,93,4,
90,Jakeem Grant,MIA,WR,101,11,
91,Hunter Renfrow,LV,WR,83,-8,
92,Chester Rogers,MIA,WR,118,26,
93,Michael Crabtree,FA,WR,111,18,
94,Deon Cain,PIT,WR,87,-7,
95,Robert Foster,BUF,WR,91,-4,
96,Taywan Taylor,CLE,WR,122,26,
97,Phillip Dorsett,SEA,WR,80,-17,
98,Bennie Fowler III,NO,WR,90,-8,
99,Josh Reynolds,LAR,WR,95,-4,
100,Breshad Perriman,NYJ,WR,88,-12,
101,Russell Shepard,FA,WR,113,12,
102,Diontae Johnson,PIT,WR,99,-3,
103,Jake Kumerow,GB,WR,102,-1,
104,J.J. Arcega-Whiteside,PHI,WR,96,-8,
