FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Deshaun Watson,HOU,QB,2,1,
2,Patrick Mahomes,KC,QB,4,2,
3,Matt Ryan,ATL,QB,5,2,
4,Russell Wilson,SEA,QB,3,-1,
5,Lamar Jackson,BAL,QB,1,-4,
6,Kyler Murray,ARI,QB,6,0,
7,Jared Goff,LAR,QB,8,1,
8,Josh Allen,BUF,QB,7,-1,
9,Dak Prescott,DAL,QB,9,0,
10,Carson Wentz,PHI,QB,12,2,
11,Tom Brady,TB,QB,11,0,
12,Aaron Rodgers,GB,QB,10,-2,
13,Gardner Minshew II,JAC,QB,15,2,
14,Jacoby Brissett,IND,QB,14,0,
15,Philip Rivers,IND,QB,18,3,
16,Daniel Jones,NYG,QB,13,-3,
17,Kirk Cousins,MIN,QB,17,0,
18,Jimmy Garoppolo,SF,QB,16,-2,
19,Andy Dalton,DAL,QB,20,1,
20,Derek Carr,LV,QB,22,2,
21,Joe Flacco,NYJ,QB,21,0,
22,Matthew Stafford,DET,QB,19,-3,
23,Mitch Trubisky,CHI,QB,24,1,
24,Ryan Tannehill,TEN,QB,25,1,
25,Sam Darnold,NYJ,QB,23,-2,
26,Teddy Bridgewater,CAR,QB,26,0,
27,Case Keenum,CLE,QB,27,0,
28,Ryan Fitzpatrick,MIA,QB,28,0,
29,Josh Rosen,MIA,QB,31,2,
