FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Odell Beckham Jr.,CLE,WR,3,2,
2,Davante Adams,GB,WR,5,3,
3,DeAndre Hopkins,ARI,WR,1,-2,
4,Adam Thielen,MIN,WR,10,6,
5,Michael Thomas,NO,WR,2,-3,
6,Keenan Allen,LAC,WR,9,3,
7,Mike Evans,TB,WR,4,-3,
8,Tyreek Hill,KC,WR,8,0,
9,JuJu Smith-Schuster,PIT,WR,7,-2,
10,Julio Jones,ATL,WR,6,-4,
11,Kenny Golladay,DET,WR,16,5,
12,Julian Edelman,NE,WR,15,3,
13,Chris Godwin,TB,WR,14,1,
14,Cooper Kupp,LAR,WR,19,5,
15,Tyler Lockett,SEA,WR,11,-4,
16,Amari Cooper,DAL,WR,13,-3,
17,Tyler Boyd,CIN,WR,20,3,
18,Brandin Cooks,HOU,WR,12,-6,
19,Stefon Diggs,BUF,WR,18,-1,
20,Robert Woods,LAR,WR,17,-3,
21,Alshon Jeffery,PHI,WR,23,2,
22,Allen Robinson,CHI,WR,21,-1,
23,Marvin Jones,DET,WR,26,3,
24,Mike Williams,LAC,WR,24,0,
25,D.J. Moore,CAR,WR,25,0,
26,Sterling Shepard,NYG,WR,35,9,
27,T.Y. Hilton,IND,WR,22,-5,
28,Will Fuller,HOU,WR,30,2,
29,Calvin Ridley,ATL,WR,29,0,
30,Larry Fitzgerald,ARI,WR,39,9,
31,Jarvis Landry,CLE,WR,32,1,
32,Josh Gordon,FA,WR,28,-4,
33,Dede Westbrook,JAC,WR,27,-6,
34,Corey Davis,TEN,WR,37,3,
35,Curtis Samuel,CAR,WR,33,-2,
36,Geronimo Allison,DET,WR,45,9,
37,Dante Pettis,SF,WR,31,-6,
38,Michael Gallup,DAL,WR,46,8,
39,Anthony Miller,CHI,WR,49,10,
40,Robby Anderson,CAR,WR,34,-6,
41,Tyrell Williams,LV,WR,42,1,
42,Emmanuel Sanders,NO,WR,43,1,
43,Courtland Sutton,DEN,WR,41,-2,
44,DeSean Jackson,PHI,WR,40,-4,
45,Ted Ginn,CHI,WR,60,15,
46,Marquez Valdes-Scantling,GB,WR,47,1,
47,Sammy Watkins,KC,WR,36,-11,
48,Christian Kirk,ARI,WR,38,-10,
49,John Brown,BUF,WR,44,-5,
50,Marquise Goodwin,PHI,WR,51,1,
51,Jamison Crowder,NYJ,WR,50,-1,
52,Kenny Stills,HOU,WR,61,9,
53,Trey Quinn,WAS,WR,68,15,
54,Donte Moncrief,FA,WR,48,-6,
55,Paul Richardson Jr.,FA,WR,71,16,
56,Mohamed Sanu,NE,WR,53,-3,
57,Adam Humphries,TEN,WR,56,-1,
58,DeVante Parker,MIA,WR,59,1,
59,Albert Wilson,MIA,WR,52,-7,
60,John Ross,CIN,WR,72,12,
61,James Washington,PIT,WR,54,-7,
62,Marqise Lee,NE,WR,86,24,
63,D.K. Metcalf,SEA,WR,57,-6,
64,Zay Jones,LV,WR,58,-6,
65,D.J. Chark,JAC,WR,80,15,
66,Phillip Dorsett,SEA,WR,78,12,
67,Taylor Gabriel,FA,WR,65,-2,
68,Randall Cobb,HOU,WR,73,5,
69,Devin Funchess,GB,WR,62,-7,
70,Tre'Quan Smith,NO,WR,55,-15,
71,Rashard Higgins,CLE,WR,66,-5,
72,Miles Boykin,BAL,WR,70,-2,
73,Michael Crabtree,FA,WR,,,
74,Danny Amendola,DET,WR,74,0,
75,Terry McLaurin,WAS,WR,82,7,
76,Travis Benjamin,SF,WR,92,16,
77,Cole Beasley,BUF,WR,67,-10,
78,Cody Latimer,WAS,WR,100,22,
79,Cordarrelle Patterson,CHI,WR,90,11,
80,Quincy Enunwa,FA,WR,,,
81,Chester Rogers,MIA,WR,119,38,
82,Hunter Renfrow,LV,WR,85,3,
83,Robert Foster,BUF,WR,81,-2,
84,Parris Campbell,IND,WR,79,-5,
85,DaeSean Hamilton,DEN,WR,63,-22,
86,Marquise Brown,BAL,WR,76,-10,
87,Mecole Hardman,KC,WR,77,-10,
88,Taywan Taylor,CLE,WR,105,17,
89,Josh Reynolds,LAR,WR,95,6,
90,Russell Shepard,FA,WR,124,34,
91,Nelson Agholor,LV,WR,75,-16,
92,Breshad Perriman,NYJ,WR,84,-8,
93,Willie Snead,BAL,WR,69,-24,
94,Andy Isabella,ARI,WR,91,-3,
95,Chris Hogan,FA,WR,96,1,
96,Preston Williams,MIA,WR,98,2,
97,Deebo Samuel,SF,WR,64,-33,
98,A.J. Brown,TEN,WR,87,-11,
99,Keelan Cole,JAC,WR,93,-6,
100,Chris Conley,JAC,WR,83,-17,
101,Jake Kumerow,GB,WR,94,-7,
102,J.J. Arcega-Whiteside,PHI,WR,88,-14,
103,Ryan Grant,FA,WR,99,-4,
104,KeeSean Johnson,ARI,WR,89,-15,
105,Diontae Johnson,PIT,WR,104,-1,
