FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Pittsburgh Steelers,PIT,DST,1,0,
2,Chicago Bears,CHI,DST,4,2,
3,Buffalo Bills,BUF,DST,2,-1,
4,Detroit Lions,DET,DST,9,5,
5,Cleveland Browns,CLE,DST,5,0,
6,New Orleans Saints,NO,DST,3,-3,
7,Denver Broncos,DEN,DST,10,3,
8,Baltimore Ravens,BAL,DST,7,-1,
9,New England Patriots,NE,DST,8,-1,
10,Atlanta Falcons,ATL,DST,6,-4,
11,San Francisco 49ers,SF,DST,12,1,
12,Las Vegas Raiders,LV,DST,11,-1,
13,Jacksonville Jaguars,JAC,DST,13,0,
14,New York Jets,NYJ,DST,20,6,
15,Indianapolis Colts,IND,DST,22,7,
16,Tennessee Titans,TEN,DST,14,-2,
17,Washington Football Team,WAS,DST,15,-2,
18,New York Giants,NYG,DST,16,-2,
19,Seattle Seahawks,SEA,DST,18,-1,
20,Los Angeles Rams,LAR,DST,19,-1,
21,Philadelphia Eagles,PHI,DST,23,2,
22,Carolina Panthers,CAR,DST,27,5,
23,Cincinnati Bengals,CIN,DST,26,3,
24,Green Bay Packers,GB,DST,21,-3,
25,Dallas Cowboys,DAL,DST,24,-1,
26,Houston Texans,HOU,DST,17,-9,
27,Miami Dolphins,MIA,DST,25,-2,
28,Tampa Bay Buccaneers,TB,DST,28,0,
