FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,New England Patriots,NE,DST,1,0,
2,Baltimore Ravens,BAL,DST,2,0,
3,Chicago Bears,CHI,DST,3,0,
4,Houston Texans,HOU,DST,4,0,
5,Buffalo Bills,BUF,DST,5,0,
6,Denver Broncos,DEN,DST,8,2,
7,Dallas Cowboys,DAL,DST,7,0,
8,Carolina Panthers,CAR,DST,9,1,
9,Cleveland Browns,CLE,DST,6,-3,
10,Los Angeles Chargers,LAC,DST,11,1,
11,Kansas City Chiefs,KC,DST,13,2,
12,Jacksonville Jaguars,JAC,DST,14,2,
13,Tennessee Titans,TEN,DST,12,-1,
14,Green Bay Packers,GB,DST,10,-4,
15,Minnesota Vikings,MIN,DST,15,0,
16,Indianapolis Colts,IND,DST,17,1,
17,Pittsburgh Steelers,PIT,DST,16,-1,
18,New York Giants,NYG,DST,18,0,
19,Philadelphia Eagles,PHI,DST,20,1,
20,Seattle Seahawks,SEA,DST,24,4,
21,New York Jets,NYJ,DST,22,1,
22,Detroit Lions,DET,DST,25,3,
23,Los Angeles Rams,LAR,DST,23,0,
24,San Francisco 49ers,SF,DST,21,-3,
25,Cincinnati Bengals,CIN,DST,19,-6,
26,Las Vegas Raiders,LV,DST,31,5,
27,Washington Football Team,WAS,DST,27,0,
28,New Orleans Saints,NO,DST,26,-2,
29,Atlanta Falcons,ATL,DST,28,-1,
30,Tampa Bay Buccaneers,TB,DST,29,-1,
31,Arizona Cardinals,ARI,DST,30,-1,
32,Miami Dolphins,MIA,DST,32,0,
