FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Lamar Jackson,BAL,QB,1,0,
2,Patrick Mahomes,KC,QB,2,0,
3,Dak Prescott,DAL,QB,4,1,
4,Drew Brees,NO,QB,5,1,
5,Josh Allen,BUF,QB,6,1,
6,Deshaun Watson,HOU,QB,3,-3,
7,Tom Brady,TB,QB,8,1,
8,Matt Ryan,ATL,QB,10,2,
9,Jameis Winston,NO,QB,7,-2,
10,Kyler Murray,ARI,QB,14,4,
11,Derek Carr,LV,QB,9,-2,
12,Kyle Allen,WAS,QB,13,1,
13,Philip Rivers,IND,QB,12,-1,
14,Jimmy Garoppolo,SF,QB,11,-3,
15,Sam Darnold,NYJ,QB,20,5,
16,Carson Wentz,PHI,QB,19,3,
17,Kirk Cousins,MIN,QB,15,-2,
18,Nick Foles,CHI,QB,18,0,
19,Baker Mayfield,CLE,QB,21,2,
20,Jacoby Brissett,IND,QB,16,-4,
21,Mason Rudolph,PIT,QB,22,1,
22,Jared Goff,LAR,QB,17,-5,
23,Dwayne Haskins,WAS,QB,27,4,
24,Mitch Trubisky,CHI,QB,26,2,
25,Ryan Finley,CIN,QB,23,-2,
26,Jeff Driskel,DEN,QB,24,-2,
27,Ryan Fitzpatrick,MIA,QB,25,-2,
28,Brandon Allen,CIN,QB,28,0,
