FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,New England Patriots,NE,DST,1,0,
2,Los Angeles Chargers,LAC,DST,4,2,
3,Carolina Panthers,CAR,DST,5,2,
4,Baltimore Ravens,BAL,DST,3,-1,
5,Dallas Cowboys,DAL,DST,2,-3,
6,Washington Football Team,WAS,DST,6,0,
7,Green Bay Packers,GB,DST,8,1,
8,Philadelphia Eagles,PHI,DST,12,4,
9,Jacksonville Jaguars,JAC,DST,15,6,
10,New Orleans Saints,NO,DST,11,1,
11,Los Angeles Rams,LAR,DST,10,-1,
12,Seattle Seahawks,SEA,DST,16,4,
13,Minnesota Vikings,MIN,DST,13,0,
14,Tennessee Titans,TEN,DST,7,-7,
15,Denver Broncos,DEN,DST,9,-6,
16,Tampa Bay Buccaneers,TB,DST,19,3,
17,San Francisco 49ers,SF,DST,14,-3,
18,Cleveland Browns,CLE,DST,21,3,
19,Pittsburgh Steelers,PIT,DST,17,-2,
20,Cincinnati Bengals,CIN,DST,27,7,
21,Houston Texans,HOU,DST,24,3,
22,Kansas City Chiefs,KC,DST,20,-2,
23,Detroit Lions,DET,DST,23,0,
24,Atlanta Falcons,ATL,DST,22,-2,
25,New York Jets,NYJ,DST,26,1,
26,Arizona Cardinals,ARI,DST,25,-1,
27,Miami Dolphins,MIA,DST,18,-9,
28,New York Giants,NYG,DST,28,0,
