FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Buffalo Bills,BUF,DST,1,0,
2,San Francisco 49ers,SF,DST,2,0,
3,New England Patriots,NE,DST,3,0,
4,Chicago Bears,CHI,DST,4,0,
5,Jacksonville Jaguars,JAC,DST,5,0,
6,Green Bay Packers,GB,DST,8,2,
7,New Orleans Saints,NO,DST,6,-1,
8,Kansas City Chiefs,KC,DST,11,3,
9,Houston Texans,HOU,DST,17,8,
10,Indianapolis Colts,IND,DST,19,9,
11,Minnesota Vikings,MIN,DST,10,-1,
12,Tennessee Titans,TEN,DST,7,-5,
13,Los Angeles Chargers,LAC,DST,9,-4,
14,Detroit Lions,DET,DST,12,-2,
15,Seattle Seahawks,SEA,DST,13,-2,
16,Arizona Cardinals,ARI,DST,21,5,
17,Los Angeles Rams,LAR,DST,15,-2,
18,Baltimore Ravens,BAL,DST,20,2,
19,Atlanta Falcons,ATL,DST,28,9,
20,New York Giants,NYG,DST,18,-2,
21,Washington Football Team,WAS,DST,24,3,
22,Philadelphia Eagles,PHI,DST,14,-8,
23,Dallas Cowboys,DAL,DST,16,-7,
24,Miami Dolphins,MIA,DST,27,3,
25,Cincinnati Bengals,CIN,DST,23,-2,
26,Denver Broncos,DEN,DST,22,-4,
27,Las Vegas Raiders,LV,DST,25,-2,
28,New York Jets,NYJ,DST,26,-2,
