FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Wil Lutz,NO,K,2,1,
2,Greg Zuerlein,DAL,K,1,-1,
3,Harrison Butker,KC,K,4,1,
4,Stephen Gostkowski,FA,K,5,1,
5,Jake Elliott,PHI,K,6,1,
6,Justin Tucker,BAL,K,3,-3,
7,Jason Myers,SEA,K,9,2,
8,Brett Maher,NYJ,K,8,0,
9,Robbie Gould,SF,K,7,-2,
10,Matt Prater,DET,K,11,1,
11,Ka'imi Fairbairn,HOU,K,10,-1,
12,Mason Crosby,GB,K,12,0,
13,Dan Bailey,MIN,K,13,0,
14,Matt Bryant,FA,K,14,0,
15,Matt Gay,TB,K,19,4,
16,Josh Lambo,JAC,K,16,0,
17,Brandon McManus,DEN,K,15,-2,
18,Joey Slye,CAR,K,27,9,
19,Austin Seibert,CLE,K,21,2,
20,Chris Boswell,PIT,K,18,-2,
21,Adam Vinatieri,FA,K,17,-4,
22,Stephen Hauschka,BUF,K,22,0,
23,Eddy Pineiro,CHI,K,24,1,
24,Aldrick Rosas,FA,K,20,-4,
25,Daniel Carlson,LV,K,23,-2,
26,Dustin Hopkins,WAS,K,25,-1,
