FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Baltimore Ravens,BAL,DST,1,0,
2,New England Patriots,NE,DST,2,0,
3,Philadelphia Eagles,PHI,DST,5,2,
4,Pittsburgh Steelers,PIT,DST,4,0,
5,Kansas City Chiefs,KC,DST,6,1,
6,Buffalo Bills,BUF,DST,9,3,
7,San Francisco 49ers,SF,DST,3,-4,
8,Green Bay Packers,GB,DST,8,0,
9,Dallas Cowboys,DAL,DST,20,11,
10,Seattle Seahawks,SEA,DST,7,-3,
11,Detroit Lions,DET,DST,16,5,
12,Minnesota Vikings,MIN,DST,11,-1,
13,New York Giants,NYG,DST,14,1,
14,New Orleans Saints,NO,DST,10,-4,
15,Los Angeles Rams,LAR,DST,15,0,
16,Chicago Bears,CHI,DST,19,3,
17,Tennessee Titans,TEN,DST,17,0,
18,Cleveland Browns,CLE,DST,13,-5,
19,Tampa Bay Buccaneers,TB,DST,12,-7,
20,Los Angeles Chargers,LAC,DST,18,-2,
21,Denver Broncos,DEN,DST,28,7,
22,Carolina Panthers,CAR,DST,25,3,
23,Arizona Cardinals,ARI,DST,22,-1,
24,Cincinnati Bengals,CIN,DST,31,7,
25,Miami Dolphins,MIA,DST,24,-1,
26,Houston Texans,HOU,DST,23,-3,
27,Las Vegas Raiders,LV,DST,21,-6,
28,Atlanta Falcons,ATL,DST,30,2,
29,Washington Football Team,WAS,DST,27,-2,
30,Jacksonville Jaguars,JAC,DST,26,-4,
31,New York Jets,NYJ,DST,32,1,
32,Indianapolis Colts,IND,DST,29,-3,
