FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Nick Chubb,CLE,RB,1,0,
2,Derrick Henry,TEN,RB,4,2,
3,Christian McCaffrey,CAR,RB,2,-1,
4,Alvin Kamara,NO,RB,3,-1,
5,Chris Carson,SEA,RB,10,5,
6,Ezekiel Elliott,DAL,RB,8,2,
7,Saquon Barkley,NYG,RB,5,-2,
8,Leonard Fournette,JAC,RB,7,-1,
9,Le'Veon Bell,NYJ,RB,11,2,
10,Aaron Jones,GB,RB,9,-1,
11,Josh Jacobs,LV,RB,6,-5,
12,David Montgomery,CHI,RB,17,5,
13,Tevin Coleman,SF,RB,13,0,
14,Phillip Lindsay,DEN,RB,15,1,
15,Todd Gurley,ATL,RB,12,-3,
16,Mark Ingram II,BAL,RB,14,-2,
17,Sony Michel,NE,RB,22,5,
18,Joe Mixon,CIN,RB,16,-2,
19,Jaylen Samuels,PIT,RB,20,1,
20,Miles Sanders,PHI,RB,19,-1,
21,Devin Singletary,BUF,RB,18,-3,
22,Latavius Murray,NO,RB,29,7,
23,Carlos Hyde,SEA,RB,21,-2,
24,Kareem Hunt,CLE,RB,24,0,
25,James White,NE,RB,27,2,
26,Derrius Guice,FA,RB,28,2,
27,Ronald Jones II,TB,RB,25,-2,
28,Brian Hill,ATL,RB,26,-2,
29,Bo Scarbrough,DET,RB,23,-6,
30,Royce Freeman,DEN,RB,34,4,
31,Jamaal Williams,GB,RB,30,-1,
32,Adrian Peterson,WAS,RB,32,0,
33,Tarik Cohen,CHI,RB,31,-2,
34,Kalen Ballage,MIA,RB,35,1,
35,Raheem Mostert,SF,RB,37,2,
36,Jonathan Williams,FA,RB,33,-3,
37,Patrick Laird,MIA,RB,44,7,
38,Frank Gore,NYJ,RB,41,3,
39,Peyton Barber,WAS,RB,40,1,
40,Gus Edwards,BAL,RB,38,-2,
41,Jordan Wilkins,IND,RB,39,-2,
42,Nyheim Hines,IND,RB,42,0,
43,Jeff Wilson,SF,RB,47,4,
44,Benny Snell Jr.,PIT,RB,48,4,
45,Jay Ajayi,FA,RB,43,-2,
46,J.D. McKissic,WAS,RB,45,-1,
47,Rex Burkhead,NE,RB,46,-1,
48,Trey Edmunds,PIT,RB,50,2,
49,Boston Scott,PHI,RB,49,0,
50,Tony Pollard,DAL,RB,57,7,
51,Ty Johnson,DET,RB,51,0,
52,Malcolm Brown,LAR,RB,55,3,
53,Giovani Bernard,CIN,RB,52,-1,
54,Jalen Richard,LV,RB,53,-1,
55,Bilal Powell,FA,RB,61,6,
56,Darrell Henderson,LAR,RB,64,8,
57,Qadree Ollison,ATL,RB,54,-3,
58,Rashaad Penny,SEA,RB,60,2,
59,Dion Lewis,NYG,RB,56,-3,
60,DeAndre Washington,KC,RB,58,-2,
61,Dare Ogunbowale,TB,RB,59,-2,
62,Justice Hill,BAL,RB,65,3,
63,Kenjon Barner,FA,RB,62,-1,
64,Ryquell Armstead,JAC,RB,63,-1,
