FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Denver Broncos,DEN,DST,4,3,
2,New England Patriots,NE,DST,1,-1,
3,Pittsburgh Steelers,PIT,DST,2,-1,
4,Baltimore Ravens,BAL,DST,3,-1,
5,Indianapolis Colts,IND,DST,7,2,
6,San Francisco 49ers,SF,DST,5,-1,
7,Kansas City Chiefs,KC,DST,6,-1,
8,Houston Texans,HOU,DST,11,3,
9,New York Jets,NYJ,DST,16,7,
10,New York Giants,NYG,DST,15,5,
11,Los Angeles Rams,LAR,DST,18,7,
12,Buffalo Bills,BUF,DST,9,-3,
13,Atlanta Falcons,ATL,DST,10,-3,
14,Washington Football Team,WAS,DST,12,-2,
15,Seattle Seahawks,SEA,DST,8,-7,
16,Minnesota Vikings,MIN,DST,17,1,
17,Jacksonville Jaguars,JAC,DST,29,12,
18,New Orleans Saints,NO,DST,14,-4,
19,Green Bay Packers,GB,DST,21,2,
20,Cincinnati Bengals,CIN,DST,20,0,
21,Los Angeles Chargers,LAC,DST,13,-8,
22,Tampa Bay Buccaneers,TB,DST,22,0,
23,Miami Dolphins,MIA,DST,24,1,
24,Philadelphia Eagles,PHI,DST,23,-1,
25,Detroit Lions,DET,DST,25,0,
26,Chicago Bears,CHI,DST,26,0,
27,Carolina Panthers,CAR,DST,28,1,
28,Dallas Cowboys,DAL,DST,19,-9,
29,Las Vegas Raiders,LV,DST,27,-2,
30,Cleveland Browns,CLE,DST,32,2,
31,Arizona Cardinals,ARI,DST,31,0,
32,Tennessee Titans,TEN,DST,30,-2,
