FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Mike Evans,TB,WR,,,
2,Davante Adams,GB,WR,1,-1,
3,Tyreek Hill,KC,WR,4,1,
4,Michael Thomas,NO,WR,2,-2,
5,Amari Cooper,DAL,WR,16,11,
6,Chris Godwin,TB,WR,5,-1,
7,Julio Jones,ATL,WR,9,2,
8,Julian Edelman,NE,WR,7,-1,
9,DeAndre Hopkins,ARI,WR,3,-6,
10,D.J. Moore,CAR,WR,6,-4,
11,Odell Beckham Jr.,CLE,WR,12,1,
12,Cooper Kupp,LAR,WR,8,-4,
13,Jarvis Landry,CLE,WR,15,2,
14,Allen Robinson,CHI,WR,14,0,
15,Keenan Allen,LAC,WR,13,-2,
16,Stefon Diggs,BUF,WR,10,-6,
17,Courtland Sutton,DEN,WR,17,0,
18,Alshon Jeffery,PHI,WR,,,
19,DeVante Parker,MIA,WR,11,-8,
20,John Brown,BUF,WR,22,2,
21,Tyler Boyd,CIN,WR,24,3,
22,Tyler Lockett,SEA,WR,18,-4,
23,Calvin Ridley,ATL,WR,,,
24,Kenny Golladay,DET,WR,21,-3,
25,D.K. Metcalf,SEA,WR,26,1,
26,Robert Woods,LAR,WR,19,-7,
27,Sterling Shepard,NYG,WR,29,2,
28,D.J. Chark,JAC,WR,20,-8,
29,Emmanuel Sanders,NO,WR,40,11,
30,Michael Gallup,DAL,WR,25,-5,
31,Zach Pascal,IND,WR,31,0,
32,Jamison Crowder,NYJ,WR,28,-4,
33,Robby Anderson,CAR,WR,23,-10,
34,Tyrell Williams,LV,WR,36,2,
35,James Washington,PIT,WR,30,-5,
36,Deebo Samuel,SF,WR,33,-3,
37,Dede Westbrook,JAC,WR,42,5,
38,Mike Williams,LAC,WR,34,-4,
39,Terry McLaurin,WAS,WR,37,-2,
40,Christian Kirk,ARI,WR,27,-13,
41,Curtis Samuel,CAR,WR,32,-9,
42,Marvin Jones,DET,WR,,,
43,Brandin Cooks,HOU,WR,39,-4,
44,Parris Campbell,IND,WR,,,
45,Anthony Miller,CHI,WR,38,-7,
46,Marquise Brown,BAL,WR,41,-5,
47,A.J. Brown,TEN,WR,35,-12,
48,Sammy Watkins,KC,WR,46,-2,
49,Kenny Stills,HOU,WR,43,-6,
50,Golden Tate,NYG,WR,44,-6,
51,Larry Fitzgerald,ARI,WR,48,-3,
52,Auden Tate,CIN,WR,53,1,
53,Darius Slayton,NYG,WR,45,-8,
54,Corey Davis,TEN,WR,50,-4,
55,Allen Lazard,GB,WR,55,0,
56,Russell Gage,ATL,WR,56,0,
57,Mohamed Sanu,NE,WR,59,2,
58,Allen Hurns,MIA,WR,52,-6,
59,Cole Beasley,BUF,WR,47,-12,
60,Kelvin Harmon,WAS,WR,63,3,
61,Nelson Agholor,LV,WR,,,
62,Phillip Dorsett,SEA,WR,58,-4,
63,Geronimo Allison,DET,WR,74,11,
64,Mecole Hardman,KC,WR,61,-3,
65,Chris Conley,JAC,WR,54,-11,
66,Kendrick Bourne,SF,WR,67,1,
67,Randall Cobb,HOU,WR,51,-16,
68,Diontae Johnson,PIT,WR,49,-19,
69,Albert Wilson,MIA,WR,66,-3,
70,Demaryius Thomas,FA,WR,57,-13,
71,Tim Patrick,DEN,WR,70,-1,
72,Josh Gordon,FA,WR,69,-3,
73,Greg Ward,PHI,WR,92,19,
74,Christian Blake,ATL,WR,89,15,
75,Jakobi Meyers,NE,WR,65,-10,
76,Olabisi Johnson,MIN,WR,71,-5,
77,Marcus Johnson,IND,WR,68,-9,
78,Danny Amendola,DET,WR,64,-14,
79,John Ross,CIN,WR,62,-17,
80,Ted Ginn,CHI,WR,60,-20,
81,David Moore,SEA,WR,90,9,
82,J.J. Arcega-Whiteside,PHI,WR,79,-3,
83,Breshad Perriman,NYJ,WR,75,-8,
84,Pharoh Cooper,CAR,WR,86,2,
85,Rashard Higgins,CLE,WR,94,9,
86,Taylor Gabriel,FA,WR,,,
87,Andy Isabella,ARI,WR,84,-3,
88,Alex Erickson,CIN,WR,82,-6,
89,Zay Jones,LV,WR,73,-16,
90,Andre Patton,ARI,WR,104,14,
91,N'Keal Harry,NE,WR,88,-3,
92,Isaiah McKenzie,BUF,WR,78,-14,
93,Marquez Valdes-Scantling,GB,WR,81,-12,
94,Tre'Quan Smith,NO,WR,77,-17,
95,Demarcus Robinson,KC,WR,72,-23,
96,Keelan Cole,JAC,WR,95,-1,
97,Willie Snead,BAL,WR,76,-21,
98,Laquon Treadwell,ATL,WR,91,-7,
99,Seth Roberts,CAR,WR,93,-6,
100,Jarius Wright,FA,WR,83,-17,
