FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Lamar Jackson,BAL,QB,1,0,
2,Drew Brees,NO,QB,2,0,
3,Aaron Rodgers,GB,QB,6,3,
4,Patrick Mahomes,KC,QB,3,-1,
5,Kyler Murray,ARI,QB,5,0,
6,Jameis Winston,NO,QB,4,-2,
7,Matt Ryan,ATL,QB,10,3,
8,Josh Allen,BUF,QB,11,3,
9,Philip Rivers,IND,QB,9,0,
10,Russell Wilson,SEA,QB,7,-3,
11,Dak Prescott,DAL,QB,8,-3,
12,Ryan Tannehill,TEN,QB,15,3,
13,Derek Carr,LV,QB,16,3,
14,Jimmy Garoppolo,SF,QB,12,-2,
15,Kirk Cousins,MIN,QB,17,2,
16,Sam Darnold,NYJ,QB,19,3,
17,Ryan Fitzpatrick,MIA,QB,22,5,
18,Jared Goff,LAR,QB,13,-5,
19,Brian Hoyer,NE,QB,18,-1,
20,Kyle Allen,WAS,QB,21,1,
21,Daniel Jones,NYG,QB,14,-7,
22,Mitch Trubisky,CHI,QB,20,-2,
23,Baker Mayfield,CLE,QB,23,0,
24,Mason Rudolph,PIT,QB,24,0,
25,Jeff Driskel,DEN,QB,26,1,
26,Ryan Finley,CIN,QB,25,-1,
27,Andy Dalton,DAL,QB,29,2,
