"player","rank_01","fpts_01","rank_02","fpts_02","rank_03","fpts_03","rank_04","fpts_04","rank_05","fpts_05","rank_08","fpts_08","rank_09","fpts_09","rank_10","fpts_10","rank_11","fpts_11","rank_12","fpts_12","rank_13","fpts_13","rank_14","fpts_14","rank_15","fpts_15","rank_16","fpts_16","rank_17","fpts_17","ecr_01","ecr_02","ecr_03","ecr_04","ecr_05","ecr_08","ecr_09","ecr_10","ecr_11","ecr_12","ecr_13","ecr_14","ecr_15","ecr_16","ecr_17"
"Piotr Czech",54,0,52,0,52,0,51,0,51,0,50,0,49,0,48,0,47,0,48,0,52,0,51,0,51,0,49,0,49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramiz Ahmed",43,0,43,0,42,0,42,0,41,0,43,0,41,0,45,0,39,0,40,0,43,0,49,0,49,0,47,0,47,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Randy Bullock",13,8,19,5,19,6,29,3,7,12,25,4,60,0,13,8,14,5,23,4,11,9,3,15,13,8,14,9,12,11,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ricky Schmit",59,0,55,0,55,0,54,0,54,0,53,0,52,0,52,0,58,0,53,0,55,0,54,0,54,0,52,0,52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rigoberto Sanchez",32,0,32,0,35,0,31,0,31,0,31,0,30,0,30,0,29,0,30,0,33,0,35,0,33,0,33,0,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Robbie Gould",7,12,6,11,23,6,49,0,13,8,12,9,24,4,49,0,48,0,49,0,25,5,5,13,3,12,8,10,14,9,7,9,6,NA,6,8,3,NA,NA,NA,NA,16,3,6,3
"Rodrigo Blankenship",38,0,37,0,48,0,47,0,47,0,48,0,43,0,38,0,45,0,35,0,37,0,42,0,42,0,40,0,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ryan Santoso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,0,37,0,37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ryan Succop",55,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,2,23,3,NA,NA,19,6,22,7,21,6,29,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,20,NA,18,NA,NA,NA
"Sam Ficken",31,0,26,4,31,2,30,0,30,0,29,1,5,13,6,12,19,4,10,10,19,7,7,12,30,1,1,13,18,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA
"Sam Sloman",37,0,39,0,50,0,38,0,49,0,39,0,37,0,41,0,41,0,37,0,39,0,45,0,45,0,43,0,43,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saverio Rocca",70,0,62,0,62,0,62,0,63,0,60,0,59,0,61,0,61,0,62,0,63,0,61,0,61,0,60,0,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sebastian Janikowski",56,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stephen Gostkowski",2,16,15,7,21,6,27,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stephen Hauschka",16,6,20,4,13,8,21,5,27,2,30,1,14,7,24,2,1,15,15,8,9,9,9,11,22,5,23,5,22,6,22,17,16,NA,NA,15,12,19,11,12,21,NA,NA,NA,NA
"Steven Weatherford",57,0,53,0,53,0,52,0,52,0,51,0,50,0,50,0,50,0,51,0,53,0,52,0,52,0,50,0,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tristan Vizcaino",50,0,49,0,45,0,45,0,45,0,47,0,45,0,36,0,42,0,45,0,49,0,40,0,40,0,38,0,38,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tucker McCann",40,0,40,0,44,0,39,0,44,0,40,0,38,0,42,0,36,0,34,0,40,0,46,0,46,0,44,0,44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ty Long",15,7,22,4,8,9,1,16,36,0,36,0,34,0,34,0,33,0,33,0,36,0,39,0,39,0,37,0,37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyler Bass",39,0,38,0,49,0,37,0,48,0,45,0,36,0,40,0,44,0,36,0,38,0,44,0,44,0,42,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wil Lutz",3,15,5,12,26,3,5,14,15,7,16,7,29,0,9,10,4,11,5,11,1,17,4,13,6,10,10,9,20,6,2,5,19,11,4,5,NA,1,1,1,2,4,2,2,1
"Younghoe Koo",36,0,35,0,34,0,32,0,32,0,32,0,31,0,2,15,5,11,4,11,15,8,2,18,18,6,21,6,2,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,11,8,20,5,7
"Zac Derr",58,0,54,0,54,0,53,0,53,0,52,0,51,0,51,0,51,0,52,0,54,0,53,0,53,0,51,0,51,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zane Gonzalez",5,14,10,9,9,9,23,4,3,14,7,11,22,5,7,11,9,9,28,0,31,1,24,5,14,8,9,10,24,6,NA,NA,15,14,18,13,17,9,15,NA,7,NA,13,20,NA
